BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.049412,0.002434,0.051846,599,768,17
0.0536589,0.00249825,0.0561571,604,778,17
0.052238,0.00245891,0.0546969,597,764,20
0.0511455,0.00250778,0.0536533,608,786,17
0.0516308,0.00242061,0.0540514,597,764,17
0.0529802,0.00247762,0.0554578,605,780,17
0.0498002,0.00245963,0.0522598,606,782,17
0.0553021,0.00245388,0.057756,598,766,17
0.0508902,0.00246041,0.0533506,605,780,17
0.0520009,0.00248688,0.0544878,608,786,17
0.0518238,0.00250157,0.0543253,604,778,17
0.0518561,0.0024702,0.0543263,601,772,17
0.0515979,0.00242601,0.0540239,601,772,17
0.0516192,0.00245845,0.0540776,606,782,17
0.0504895,0.0024524,0.0529419,604,778,17
0.0548779,0.00248245,0.0573603,602,774,17
0.0490571,0.00246656,0.0515237,608,786,17
0.0513254,0.00260127,0.0539267,607,784,19
0.0509285,0.00245168,0.0533802,604,778,17
0.0521728,0.0024384,0.0546112,600,770,17
0.0497866,0.00250365,0.0522902,606,782,17
0.0529576,0.00258021,0.0555378,603,776,17
0.0506509,0.00245714,0.0531081,605,780,17
0.0519981,0.00264032,0.0546384,604,778,17
0.0519474,0.00245038,0.0543978,602,774,17
0.0514297,0.0025475,0.0539772,600,770,17
0.0521845,0.00241583,0.0546003,598,766,17
0.0520825,0.00248733,0.0545698,607,784,17
0.0515574,0.00242929,0.0539867,600,770,17
0.0525052,0.00252103,0.0550263,601,772,17
0.052051,0.00241608,0.0544671,597,764,17
0.0505768,0.00251882,0.0530956,604,778,17
0.0517738,0.00246881,0.0542426,601,772,17
0.0542207,0.00245151,0.0566722,596,762,17
0.0504778,0.00244582,0.0529236,603,776,17
0.0519757,0.00247623,0.0544519,599,768,17
0.0508551,0.00241577,0.0532709,596,762,17
0.0531449,0.00260265,0.0557475,608,786,17
0.049766,0.00245935,0.0522254,605,780,20
0.0510605,0.00251039,0.0535709,601,772,17
0.0519984,0.00243466,0.0544331,601,772,17
0.0542326,0.00251595,0.0567486,601,772,17
0.0523255,0.00241131,0.0547368,595,760,17
0.0542858,0.00249706,0.0567828,604,778,17
0.0514883,0.00250495,0.0539932,601,772,17
0.0520309,0.0025406,0.0545715,606,782,17
0.0510555,0.002453,0.0535085,602,774,20
0.0532002,0.002529,0.0557292,604,778,17
0.0505394,0.00244473,0.0529841,603,776,20
0.0546899,0.00238959,0.0570794,595,760,17
