PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,0,0.322401,3.843e-05,0.317527,8,5,10,4,0.809
1,0,0.874098,3.3365e-05,0.869044,15,9,32,4,0.829
1,0,0.519068,2.0744e-05,0.51396,10,6,16,4,0.827
1,0,0.496212,0.000158225,0.491076,16,6,18,4,0.84
1,0,1.90668,2.9434e-05,1.90173,37,17,64,4,0.817
1,0,1.5937,2.7509e-05,1.58865,28,14,52,4,0.795
1,0,0.336504,0.000134815,0.33148,7,5,10,4,0.807
1,0,0.412227,1.9953e-05,0.407221,10,6,16,4,0.83
1,0,1.93004,0.000209735,1.92362,21,16,70,4,0.828
1,0,0.302045,5.6614e-05,0.296789,11,5,12,3,0.798
1,0,0.34631,2.0424e-05,0.341403,20,7,22,4,0.797
1,0,0.883727,0.000388094,0.878262,23,11,30,8,0.83
1,0,1.62377,0.000143269,1.61877,19,14,58,4,0.84
1,0,0.968489,1.9796e-05,0.963412,14,13,40,4,0.817
1,0,0.381452,0.000518483,0.375571,6,5,12,4,0.826
1,0,0.673875,1.9708e-05,0.668775,24,8,26,4,0.827
1,0,0.897859,0.00016087,0.892446,10,11,32,4,0.829
1,0,0.437082,2.9581e-05,0.43209,8,5,12,4,0.828
1,0,0.200419,4.2195e-05,0.195145,6,5,10,4,0.827
1,0,0.760925,0.000283456,0.755666,13,9,28,4,0.822
1,0,0.32832,2.0797e-05,0.323409,10,6,14,3,0.833
1,0,0.409137,0.000133046,0.403878,6,5,12,3,0.815
1,0,0.376016,5.0135e-05,0.370908,18,6,12,3,0.845
1,0,0.461178,3.0348e-05,0.456138,16,6,18,4,0.817
1,0,1.1434,6.297e-05,1.1385,14,11,36,5,0.83
1,0,1.04584,0.000134334,1.04039,21,10,34,4,0.819
1,0,0.683175,2.5884e-05,0.677205,13,11,30,4,0.809
1,0,2.85459,2.066e-05,2.84952,50,21,116,5,0.832
1,0,1.3899,0.000574013,1.38422,21,12,46,8,0.817
1,0,0.536163,1.9414e-05,0.53101,11,6,18,3,0.821
1,0,1.19802,4.5638e-05,1.1931,25,13,40,4,0.81
1,0,0.4461,2.6184e-05,0.440756,9,5,14,3,0.808
1,0,0.404893,0.000506189,0.399301,7,5,12,4,0.829
1,0,0.353195,1.5756e-05,0.348146,8,5,10,4,0.835
1,0,1.00688,4.7928e-05,1.00086,15,10,34,3,0.81
1,0,0.335192,0.000579383,0.328726,18,6,12,4,0.828
1,0,0.611223,3.7286e-05,0.606042,12,6,16,4,0.831
1,0,1.07839,0.000595719,1.07229,10,13,38,6,0.838
1,0,0.89339,2.1255e-05,0.888542,15,11,30,4,0.817
1,0,0.591874,5.2982e-05,0.586377,23,7,20,4,0.834
1,0,0.331742,1.8928e-05,0.326646,15,6,12,4,0.804
1,0,0.476541,3.8088e-05,0.471638,15,7,18,4,0.817
1,0,0.442248,3.1836e-05,0.437328,10,6,12,4,0.823
1,0,0.848113,6.543e-05,0.843017,19,8,28,4,0.794
1,0,0.474058,4.7397e-05,0.468688,17,7,24,3,0.826
1,0,1.17212,2.0294e-05,1.16645,36,13,46,7,0.823
1,0,0.458097,3.0547e-05,0.453027,6,5,12,4,0.835
1,0,0.570201,6.2536e-05,0.565003,27,12,34,4,0.81
1,0,0.2489,0.00046131,0.243453,6,5,14,3,0.821
1,0,1.13799,2.0379e-05,1.13281,28,14,50,8,0.832
