PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,0,20.1722,0.000030201,20.1658,428,79,786,4,0.834
2,0,20.6147,0.000500539,20.6081,319,84,864,5,0.827
2,0,20.7806,0.000182092,20.7757,343,91,822,5,0.847
2,0,20.5686,0.000056304,20.5626,418,92,856,4,0.826
2,0,20.1667,0.000213847,20.1602,500,86,848,5,0.833
2,0,20.4006,0.00006089,20.3946,286,90,814,3,0.828
2,0,20.6007,0.000057017,20.5945,251,86,798,3,0.811
2,0,20.6518,0.000173333,20.645,494,89,852,5,0.815
2,0,20.0903,0.00012875,20.084,341,84,822,4,0.832
2,0,20.4027,0.000019815,20.3961,500,89,852,5,0.817
2,0,20.6727,0.000179797,20.6662,337,91,828,8,0.817
2,0,20.274,0.000044547,20.268,425,84,784,3,0.81
2,0,20.6267,0.000141213,20.6205,299,80,798,5,0.831
2,0,20.3741,0.000030775,20.3678,362,78,806,6,0.839
2,0,20.2766,0.000161364,20.2702,450,83,782,7,0.831
2,0,20.0069,0.000158607,20,329,93,830,3,0.81
2,0,20.3056,0.000154949,20.2988,370,85,866,5,0.828
2,0,20.4908,0.000015541,20.4846,468,93,904,5,0.809
2,0,20.7363,0.000155026,20.7306,465,92,816,3,0.811
2,0,20.6528,0.000123236,20.6462,325,84,780,4,0.818
2,0,20.2166,0.000017546,20.2106,226,79,728,4,0.813
2,0,20.1119,0.000017939,20.1059,307,73,746,5,0.845
2,0,20.7017,0.000015811,20.6969,244,84,808,7,0.821
2,0,20.3758,0.000018787,20.3698,297,81,772,4,0.822
2,0,20.7085,0.000035646,20.7021,446,79,800,7,0.807
2,0,20.1403,0.000027144,20.1334,415,89,768,3,0.827
2,0,20.8668,0.000016853,20.8615,304,87,794,4,0.817
2,0,20.7094,0.000021721,20.7032,412,91,872,5,0.817
2,0,20.0635,0.00001552,20.0572,367,82,788,6,0.82
2,0,20.5177,0.000039455,20.5116,369,82,806,6,0.807
2,0,20.1734,0.000031072,20.1675,441,98,826,5,0.821
2,0,20.0643,0.000021082,20.0581,395,85,800,5,0.818
2,0,20.489,0.000122164,20.4827,438,89,804,5,0.832
2,0,20.0147,0.000014518,20.0083,368,87,830,7,0.815
2,0,20.3672,0.000034965,20.361,232,88,832,3,0.808
2,0,20.6407,0.000021365,20.6344,334,84,810,5,0.824
2,0,20.0549,0.000127279,20.0484,317,86,828,6,0.836
2,0,20.7934,0.000021342,20.7871,323,89,850,7,0.813
2,0,20.0358,0.000134524,20.0288,384,82,814,7,0.827
2,0,20.0689,0.000147945,20.0622,342,90,808,6,0.814
2,0,20.7156,0.000148985,20.7092,357,92,816,6,0.806
2,0,20.2597,0.00002628,20.253,383,88,850,5,0.809
2,0,20.3827,0.000020605,20.3756,235,88,804,5,0.835
2,0,20.2389,0.000136369,20.2326,449,78,786,9,0.798
2,0,20.7453,0.000054191,20.7391,221,85,814,6,0.817
2,0,20.0408,0.000021411,20.0343,336,90,800,5,0.815
2,0,20.3313,0.000024093,20.3245,396,92,860,5,0.827
2,0,20.2088,0.000015959,20.2027,401,91,786,8,0.811
2,0,20.1632,0.000015915,20.1569,330,91,812,3,0.819
2,0,20.9413,0.000016375,20.9365,313,84,830,4,0.805
