PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,1,20.0095,2.8772e-05,20.0092,194077,1773,38092,11,0.727
2,1,20.0177,3.6298e-05,20.0157,195432,1728,37884,9,0.707
2,1,20.0096,0.000213539,20.0076,200779,1774,37952,3,0.736
2,1,20.0062,0.000218224,20.0042,198418,1792,38102,5,0.691
2,1,20.0295,2.6572e-05,20.0275,204986,1743,37768,11,0.746
2,1,20.0266,0.000212992,20.0246,203099,1745,38216,10,0.741
2,1,20.0105,3.2682e-05,20.0086,199812,1696,37678,3,0.723
2,1,20.0292,1.8517e-05,20.0272,200738,1756,37942,12,0.731
2,1,20.0245,2.9399e-05,20.0227,201360,1735,37846,9,0.717
2,1,20.0204,3.2112e-05,20.0185,205419,1749,37752,10,0.729
2,1,20.0085,0.000371946,20.0062,203901,1748,38076,14,0.713
2,1,20.0029,1.7858e-05,20.0012,190347,1738,37798,13,0.734
2,1,20.0143,2.8044e-05,20.0126,190513,1754,37954,11,0.737
2,1,20.0078,0.000355919,20.0058,202164,1734,37886,5,0.725
2,1,20.0191,0.00034332,20.0169,205063,1749,38084,11,0.748
2,1,20.0145,0.000358123,20.0123,197449,1787,38228,12,0.726
2,1,20.023,0.000367439,20.0208,200930,1759,38014,9,0.744
2,1,20.014,0.000272988,20.0119,191421,1721,37726,16,0.718
2,1,20.0106,1.8762e-05,20.009,203698,1768,38478,4,0.711
2,1,20.0225,1.8453e-05,20.0205,203730,1748,37870,3,0.728
2,1,20.0074,0.000366415,20.0052,192602,1790,38182,15,0.714
2,1,20.0171,2.2969e-05,20.0168,194701,1733,37928,7,0.706
2,1,20.0117,2.0024e-05,20.0099,202148,1751,38092,10,0.737
2,1,20.0235,1.975e-05,20.0213,198886,1761,37860,10,0.702
2,1,20.0034,2.4635e-05,20.0016,206674,1803,38262,12,0.711
2,1,20.0194,0.000368099,20.0171,200180,1733,38124,12,0.728
2,1,20.0044,0.000387066,20.0023,208803,1783,38436,5,0.763
2,1,20.0369,2.3291e-05,20.0366,201651,1763,38360,12,0.693
2,1,20.0054,0.000377892,20.0033,202677,1781,37920,12,0.717
2,1,20.0041,0.000383974,20.002,197321,1743,37940,12,0.713
2,1,20.0135,2.9432e-05,20.0117,196889,1754,37902,8,0.739
2,1,20.0285,0.000386278,20.0262,196343,1729,37750,14,0.737
2,1,20.0029,0.000366005,20.0007,194176,1716,37760,14,0.712
2,1,20.0221,1.7975e-05,20.0204,216663,1735,38188,9,0.751
2,1,20.0036,1.9172e-05,20.0017,198888,1775,37910,12,0.712
2,1,20.0134,1.812e-05,20.0116,200825,1766,37974,14,0.738
2,1,20.0234,3.598e-05,20.0215,184862,1709,37604,12,0.723
2,1,20.0181,0.000369711,20.0175,212065,1719,38002,8,0.743
2,1,20.0196,2.148e-05,20.0177,197335,1785,38344,13,0.72
2,1,20.0293,2.4018e-05,20.0274,200728,1761,38056,11,0.732
2,1,20.0194,1.7826e-05,20.0176,194379,1744,38006,4,0.767
2,1,20.0034,2.8853e-05,20.0016,198937,1822,38414,8,0.726
2,1,20.0169,2.6908e-05,20.0152,202508,1730,37886,12,0.718
2,1,20.0254,0.000371141,20.0232,206747,1758,38234,11,0.729
2,1,20.0233,0.000387132,20.021,193616,1798,38084,14,0.718
2,1,20.0189,2.3171e-05,20.0171,200834,1757,38286,12,0.745
2,1,20.0078,0.000375341,20.0058,207425,1715,37840,14,0.728
2,1,20.0208,0.000347551,20.0187,205447,1714,37718,4,0.723
2,1,20.0189,1.8655e-05,20.0172,203049,1779,38056,11,0.722
2,1,20.0207,2.6532e-05,20.0187,190705,1774,38172,13,0.767
