PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,0.0162524,0,0,22,16,15,7,0.74
3,1,0.0924008,0,0,129,82,81,8,0.715
3,1,0.0330913,0,0,34,28,27,9,0.712
3,1,0.0180753,0,0,16,15,14,6,0.715
3,1,0.0401424,0,0,55,36,35,8,0.778
3,1,0.0716879,0,0,76,57,56,10,0.739
3,1,0.0287605,0,0,33,27,26,8,0.754
3,1,0.0520653,0,0,49,41,40,12,0.714
3,1,0.0520382,0,0,65,49,48,8,0.72
3,1,0.0194782,0,0,23,16,15,8,0.711
3,1,0.047224,0,0,46,33,32,7,0.733
3,1,0.0653901,0,0,74,49,48,8,0.719
3,1,0.0638613,0,0,69,53,52,10,0.753
3,1,0.0569148,0,0,71,52,51,8,0.713
3,1,0.0133466,0,0,19,13,12,6,0.746
3,1,0.0175629,0,0,21,17,16,6,0.721
3,1,0.0580112,0,0,68,52,51,9,0.742
3,1,0.0413585,0,0,47,39,38,11,0.717
3,1,0.0781044,0,0,88,63,62,9,0.703
3,1,0.0372486,0,0,47,29,28,10,0.719
3,1,0.0118245,0,0,23,15,14,6,0.711
3,1,0.0194618,0,0,26,16,15,7,0.717
3,1,0.00978398,0,0,12,9,8,7,0.731
3,1,0.0145518,0,0,25,16,15,6,0.741
3,1,0.021705,0,0,22,19,18,9,0.722
3,1,0.0484401,0,0,58,44,43,9,0.747
3,1,0.0262725,0,0,43,22,21,8,0.74
3,1,0.0701681,0,0,76,61,60,8,0.742
3,1,0.0356861,0,0,49,33,32,6,0.722
3,1,0.0170548,0,0,19,14,13,7,0.74
3,1,0.0464377,0,0,74,42,41,7,0.713
3,1,0.0469111,0,0,54,38,37,9,0.723
3,1,0.0206051,0,0,26,19,18,7,0.764
3,1,0.0411959,0,0,48,34,33,7,0.738
3,1,0.01054,0,0,20,13,12,6,0.706
3,1,0.017252,0,0,20,15,14,6,0.728
3,1,0.0699613,0,0,94,68,67,9,0.73
3,1,0.0428279,0,0,40,32,31,7,0.717
3,1,0.0261903,0,0,37,28,27,7,0.733
3,1,0.0532472,0,0,66,54,53,13,0.732
3,1,0.0456316,0,0,52,34,33,8,0.731
3,1,0.0496647,0,0,58,38,37,8,0.736
3,1,0.0223765,0,0,37,21,20,8,0.733
3,1,0.0370673,0,0,41,32,31,6,0.729
3,1,0.0238494,0,0,26,17,16,6,0.71
3,1,0.0487404,0,0,62,42,41,6,0.719
3,1,0.0185807,0,0,19,14,13,8,0.733
3,1,0.0337887,0,0,43,31,30,8,0.732
3,1,0.0229026,0,0,32,22,21,8,0.713
3,1,0.0389886,0,0,46,34,33,8,0.725
