PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,0.085958,0,0,3,6,5,5,0.818
4,1,0.22039,0,0,7,9,8,6,0.827
4,1,0.253376,0,0,12,8,7,5,0.813
4,1,0.0710279,0,0,2,6,5,5,0.796
4,1,0.238535,0,0,6,8,7,5,0.827
4,1,0.162154,0,0,6,8,7,5,0.818
4,1,0.463476,0,0,13,12,11,8,0.839
4,1,0.12351,0,0,6,8,7,5,0.825
4,1,0.302446,0,0,15,9,8,7,0.835
4,1,0.107177,0,0,2,6,5,5,0.824
4,1,0.13701,0,0,6,7,6,5,0.828
4,1,0.364455,0,0,10,10,9,7,0.824
4,1,0.0878853,0,0,2,6,5,5,0.837
4,1,0.124064,0,0,4,8,7,6,0.832
4,1,0.209467,0,0,8,7,6,6,0.829
4,1,0.0923732,0,0,6,6,5,5,0.824
4,1,0.457679,0,0,14,12,11,6,0.813
4,1,0.230604,0,0,6,7,6,6,0.817
4,1,0.123468,0,0,2,6,5,5,0.824
4,1,0.229977,0,0,10,8,7,5,0.817
4,1,0.498457,0,0,19,15,14,7,0.825
4,1,0.183336,0,0,4,7,6,6,0.838
4,1,0.499905,0,0,14,13,12,7,0.839
4,1,0.108795,0,0,4,7,6,5,0.833
4,1,0.230897,0,0,6,8,7,6,0.829
4,1,0.217389,0,0,4,7,6,5,0.823
4,1,0.164579,0,0,7,6,5,5,0.812
4,1,0.0740855,0,0,2,6,5,5,0.835
4,1,0.354941,0,0,16,12,11,7,0.808
4,1,0.152421,0,0,2,7,6,5,0.811
4,1,0.183104,0,0,2,7,6,6,0.808
4,1,0.103343,0,0,2,7,6,5,0.832
4,1,0.257565,0,0,8,9,8,5,0.801
4,1,0.197893,0,0,3,7,6,6,0.822
4,1,0.165992,0,0,2,6,5,5,0.812
4,1,0.174844,0,0,2,6,5,5,0.829
4,1,0.167895,0,0,9,7,6,5,0.83
4,1,0.181014,0,0,11,8,7,6,0.821
4,1,0.172734,0,0,7,8,7,6,0.814
4,1,0.165172,0,0,2,7,6,5,0.822
4,1,0.244218,0,0,7,7,6,6,0.833
4,1,0.206514,0,0,4,6,5,5,0.821
4,1,0.23621,0,0,7,8,7,6,0.814
4,1,0.0927819,0,0,4,6,5,5,0.819
4,1,0.0798957,0,0,2,6,5,5,0.811
4,1,0.0800585,0,0,2,6,5,5,0.81
4,1,0.088411,0,0,4,7,6,5,0.822
4,1,0.19114,0,0,8,8,7,6,0.814
4,1,0.165391,0,0,6,8,7,6,0.806
4,1,0.412622,0,0,8,11,10,6,0.829
