PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,0.00831744,0,0,13,10,9,7,0.716
4,1,0.00606659,0,0,7,8,7,6,0.74
4,1,0.00501419,0,0,4,7,6,6,0.724
4,1,0.00873474,0,0,13,9,8,6,0.732
4,1,0.00759525,0,0,17,9,8,6,0.734
4,1,0.00705417,0,0,16,10,9,6,0.74
4,1,0.0032072,0,0,6,7,6,6,0.733
4,1,0.00431272,0,0,10,8,7,6,0.726
4,1,0.00446783,0,0,7,7,6,6,0.72
4,1,0.0119216,0,0,12,13,12,8,0.724
4,1,0.00336312,0,0,4,7,6,6,0.711
4,1,0.00927138,0,0,6,9,8,7,0.745
4,1,0.00494516,0,0,4,9,8,8,0.759
4,1,0.0048048,0,0,6,8,7,6,0.717
4,1,0.00682467,0,0,13,12,11,7,0.74
4,1,0.0084186,0,0,6,9,8,7,0.714
4,1,0.00900572,0,0,8,9,8,6,0.718
4,1,0.00554264,0,0,4,8,7,6,0.723
4,1,0.00681743,0,0,6,9,8,6,0.735
4,1,0.00975178,0,0,12,10,9,7,0.707
4,1,0.0058896,0,0,12,8,7,6,0.727
4,1,0.014671,0,0,26,15,14,9,0.752
4,1,0.00646296,0,0,3,8,7,7,0.745
4,1,0.00382364,0,0,4,7,6,6,0.738
4,1,0.00806099,0,0,14,10,9,6,0.738
4,1,0.0124948,0,0,32,13,12,6,0.731
4,1,0.00523024,0,0,7,7,6,6,0.724
4,1,0.00591464,0,0,12,8,7,6,0.735
4,1,0.00261921,0,0,2,7,6,6,0.732
4,1,0.00781546,0,0,12,9,8,6,0.747
4,1,0.00312164,0,0,2,6,5,5,0.726
4,1,0.00737916,0,0,7,11,10,7,0.715
4,1,0.00955321,0,0,14,11,10,6,0.705
4,1,0.00507911,0,0,3,8,7,7,0.73
4,1,0.00711509,0,0,10,10,9,7,0.743
4,1,0.00553491,0,0,6,8,7,7,0.726
4,1,0.0153955,0,0,38,15,14,7,0.723
4,1,0.00294288,0,0,2,7,6,6,0.711
4,1,0.00492143,0,0,5,9,8,7,0.749
4,1,0.00425941,0,0,13,9,8,6,0.692
4,1,0.00701421,0,0,5,10,9,7,0.745
4,1,0.00334578,0,0,2,7,6,6,0.744
4,1,0.0161665,0,0,19,14,13,9,0.723
4,1,0.0077434,0,0,4,9,8,7,0.722
4,1,0.00488432,0,0,3,7,6,6,0.74
4,1,0.00411382,0,0,4,9,8,7,0.737
4,1,0.00793305,0,0,11,10,9,7,0.709
4,1,0.00832903,0,0,9,9,8,6,0.733
4,1,0.00668141,0,0,3,8,7,7,0.741
4,1,0.00735219,0,0,6,11,10,7,0.736
