BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.2338,0.0181218,0.251922,4317,5951,49
0.232563,0.0180218,0.250585,4320,5957,49
0.233573,0.0179387,0.251512,4317,5951,49
0.233493,0.0179653,0.251458,4320,5957,49
0.235414,0.0180599,0.253474,4319,5955,49
0.229728,0.0180217,0.247749,4325,5967,49
0.232599,0.0179444,0.250544,4319,5955,49
0.233308,0.0181172,0.251425,4326,5969,49
0.232195,0.0179971,0.250192,4323,5963,49
0.232286,0.0180178,0.250303,4318,5953,49
0.233627,0.0179728,0.2516,4322,5961,49
0.230854,0.018059,0.248913,4324,5965,49
0.232127,0.0180194,0.250146,4322,5961,49
0.233252,0.0179909,0.251243,4321,5959,49
0.231066,0.0179852,0.249051,4321,5959,49
0.234317,0.0179049,0.252221,4321,5959,49
0.233754,0.0179528,0.251707,4323,5963,49
0.231908,0.0179242,0.249832,4320,5957,49
0.23054,0.0179188,0.248459,4326,5969,49
0.2343,0.0179065,0.252206,4318,5953,49
0.233656,0.0179849,0.251641,4321,5959,49
0.234044,0.0186706,0.252715,4315,5947,49
0.238915,0.0183096,0.257224,4318,5953,49
0.239964,0.0185966,0.258561,4322,5961,49
0.239467,0.0178936,0.25736,4312,5941,49
0.232783,0.0179547,0.250738,4320,5957,49
0.23219,0.0178744,0.250064,4321,5959,49
0.235295,0.017934,0.253229,4320,5957,49
0.231463,0.0178745,0.249337,4319,5955,49
0.238896,0.0184346,0.25733,4313,5943,49
0.238226,0.0185127,0.256739,4323,5963,49
0.236561,0.0184505,0.255011,4324,5965,49
0.232258,0.0181272,0.250385,4318,5953,49
0.233544,0.0179768,0.25152,4321,5959,49
0.234014,0.01794,0.251954,4314,5945,49
0.234137,0.0179293,0.252066,4321,5959,49
0.233651,0.0179386,0.25159,4315,5947,49
0.232786,0.017907,0.250693,4320,5957,49
0.232291,0.0178989,0.25019,4317,5951,49
0.234774,0.0183191,0.253093,4316,5949,49
0.230936,0.0179927,0.248929,4322,5961,49
0.23168,0.0180293,0.249709,4325,5967,49
0.232537,0.0179756,0.250513,4320,5957,49
0.233596,0.017896,0.251492,4324,5965,49
0.233074,0.0181492,0.251223,4323,5963,49
0.232873,0.0179779,0.250851,4326,5969,49
0.231828,0.0179521,0.24978,4319,5955,49
0.232004,0.0180233,0.250027,4323,5963,49
0.236042,0.0179705,0.254012,4306,5929,49
0.230955,0.0178788,0.248834,4314,5945,49
