PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,0,20.7134,6.6396e-05,20.7021,664,74,350,4,0.324
1,1,19.962,2.2293e-05,19.9507,1070,69,336,9,0.323
1,0,21.0257,2.0257e-05,21.0127,904,68,368,3,0.34
1,0,20.9266,2.3726e-05,20.9137,1244,70,368,4,0.297
1,1,16.6123,2.9457e-05,16.6006,531,54,260,9,0.327
1,1,7.5778,1.9123e-05,7.56594,258,31,116,8,0.315
1,0,20.3326,2.0385e-05,20.3201,1063,66,350,4,0.328
1,0,21.1346,1.9778e-05,21.123,729,52,340,3,0.301
1,1,7.14459,2.122e-05,7.13308,160,30,112,8,0.316
1,1,10.0547,2.0468e-05,10.0424,302,41,164,8,0.322
1,0,20.1618,2.4627e-05,20.1491,995,62,314,5,0.303
1,0,20.0129,2.043e-05,20.0001,453,64,420,2,0.345
1,0,20.3612,1.9971e-05,20.3482,458,68,356,5,0.33
1,0,20.0827,2.0724e-05,20.0696,865,58,320,6,0.305
1,0,20.8102,2.0278e-05,20.7973,527,66,366,6,0.322
1,0,20.902,2.7836e-05,20.8883,905,74,414,7,0.357
1,0,21.0381,1.7793e-05,21.0255,1097,69,366,3,0.315
1,0,20.6178,2.3227e-05,20.6061,1093,64,340,5,0.331
1,0,20.4154,2.1565e-05,20.403,813,61,334,5,0.312
1,0,20.6428,0.000108307,20.6302,939,64,336,6,0.353
1,0,21.2291,0.000110532,21.2161,813,59,340,5,0.312
1,0,20.5308,0.000109412,20.5181,900,63,402,5,0.309
1,1,15.9539,0.000109693,15.9419,581,59,328,9,0.313
1,0,20.204,0.000111409,20.1911,582,69,344,4,0.298
1,0,20.4034,0.000179852,20.39,816,61,302,5,0.318
1,0,20.2841,1.719e-05,20.2713,692,58,350,6,0.299
1,1,7.83959,0.000135281,7.82752,265,27,128,5,0.299
1,0,20.9742,0.00010979,20.9614,915,59,350,6,0.334
1,0,20.0312,1.6104e-05,20.0187,959,75,388,7,0.325
1,0,20.4387,2.6555e-05,20.4261,1053,74,388,6,0.301
1,1,5.09487,1.9145e-05,5.08361,165,24,74,6,0.302
1,0,20.5635,0.00012022,20.5499,889,61,350,5,0.318
1,0,20.8148,0.000109533,20.8019,451,52,316,5,0.285
1,0,20.4774,0.000130642,20.4637,1081,69,408,4,0.311
1,0,20.4487,1.8964e-05,20.4363,1433,77,444,6,0.306
1,0,21.2586,0.000107128,21.2455,702,60,390,2,0.329
1,0,20.8161,1.9438e-05,20.8033,623,68,408,6,0.312
1,0,20.1136,0.000136346,20.1008,899,55,354,4,0.313
1,0,20.3385,0.000132091,20.3254,1143,61,314,3,0.316
1,0,20.9469,1.8813e-05,20.9345,1293,75,372,3,0.327
1,0,20.2831,0.000109408,20.2706,1045,74,366,4,0.291
1,0,20.1484,2.0312e-05,20.1352,419,56,322,3,0.33
1,0,21.0099,0.000100014,20.9975,941,66,326,4,0.314
1,0,20.2513,0.000106771,20.2388,450,51,344,4,0.32
1,0,20.3695,2.6589e-05,20.3561,809,66,354,4,0.311
1,1,13.0191,0.000106186,13.0077,817,51,246,7,0.294
1,0,20.1253,0.000112876,20.1124,679,61,348,5,0.316
1,1,6.00786,1.7826e-05,5.99606,198,26,96,5,0.31
1,0,20.4593,0.000109063,20.4467,695,69,364,4,0.317
1,0,20.2447,0.000106697,20.2323,665,70,392,7,0.312
