PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,1,7.01246,2.151e-05,7.01192,40102,451,4098,10,0.308
1,1,3.96913,2.083e-05,3.96874,17820,266,2230,8,0.332
1,1,2.4775,0.000307062,2.47678,7649,176,1450,10,0.316
1,1,0.381706,0.000226962,0.381028,1477,33,146,6,0.322
1,1,5.17831,4.9273e-05,5.17773,28325,323,2990,12,0.297
1,1,0.540725,1.653e-05,0.540336,1614,48,262,10,0.302
1,1,8.69554,4.5932e-05,8.69497,64130,539,5194,15,0.32
1,1,10.6623,0.000211254,10.6617,94666,718,6598,14,0.335
1,1,0.164672,2.319e-05,0.16417,559,17,68,5,0.313
1,1,0.84755,6.0641e-05,0.846996,2929,71,394,8,0.325
1,1,1.85158,0.000412123,1.85071,5249,142,972,10,0.328
1,1,0.13714,0.000249877,0.136335,699,20,54,5,0.346
1,1,0.0793634,6.32e-05,0.0788472,265,15,34,5,0.336
1,1,1.76969,4.6766e-05,1.76916,7899,140,1002,12,0.345
1,1,7.29947,6.3504e-05,7.29896,45854,435,4226,9,0.278
1,1,3.72862,0.000229012,3.72799,15281,277,2204,7,0.306
1,1,2.00251,0.000143428,2.00198,6263,134,1028,9,0.293
1,1,0.0616336,5.0156e-05,0.0610079,214,11,26,5,0.306
1,1,2.53357,4.9279e-05,2.53295,8283,178,1376,7,0.292
1,1,3.48816,0.000143117,3.4876,14479,208,1874,7,0.293
1,1,0.219561,0.000147185,0.219044,658,21,82,6,0.331
1,1,0.472503,4.765e-05,0.472014,2371,42,218,8,0.312
1,1,1.22125,4.3641e-05,1.22075,4851,99,658,10,0.327
1,1,0.43951,4.5057e-05,0.439078,1485,34,188,6,0.332
1,1,0.397177,4.9593e-05,0.396664,1094,29,176,6,0.298
1,1,0.146664,5.9242e-05,0.14616,552,18,58,5,0.343
1,1,4.29766,6.5912e-05,4.29707,22817,308,2474,16,0.336
1,1,0.251015,0.000191982,0.250437,1257,26,96,6,0.303
1,1,0.15165,6.5117e-05,0.151064,580,17,68,5,0.31
1,1,3.29414,5.9948e-05,3.2936,15921,221,1802,8,0.311
1,1,0.572419,0.000161836,0.57179,2220,62,290,9,0.323
1,1,3.7578,5.0863e-05,3.75723,16002,260,2208,12,0.318
1,1,2.4798,0.000160799,2.4792,7945,164,1312,8,0.321
1,1,0.171526,0.000295055,0.170833,614,17,78,6,0.324
1,1,4.14217,5.3712e-05,4.14162,19498,269,2392,10,0.316
1,1,0.136664,0.000155842,0.136136,264,16,50,4,0.314
1,1,3.20424,6.0498e-05,3.20373,12367,225,1846,10,0.302
1,1,0.24032,4.6396e-05,0.23988,848,23,106,6,0.303
1,1,1.23114,6.091e-05,1.2304,3518,86,606,10,0.317
1,1,0.243992,0.000592612,0.242875,893,26,106,7,0.304
1,1,0.631111,7.1024e-05,0.630429,2161,60,308,7,0.311
1,1,0.133785,0.000608385,0.132553,445,15,48,5,0.3
1,1,0.309481,7.5208e-05,0.308787,1495,33,134,5,0.336
1,1,0.362908,6.2215e-05,0.36223,1225,30,148,6,0.278
1,1,2.47797,4.9786e-05,2.47746,10973,181,1422,7,0.344
1,1,0.237379,2.0819e-05,0.236709,578,22,94,5,0.318
1,1,0.185324,8.0567e-05,0.184773,474,19,76,5,0.311
1,1,0.0589196,8.1731e-05,0.0582743,64,10,20,4,0.323
1,1,1.79517,6.8069e-05,1.79454,6883,129,972,12,0.314
1,1,2.06793,0.00052477,2.06688,6783,145,1100,9,0.327
