PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,0,20.105,0.000032366,20.0915,619,62,344,5,0.304
2,0,20.055,0.000024302,20.0422,1063,58,322,5,0.328
2,0,20.925,0.000018413,20.9114,858,69,374,6,0.312
2,1,20.0554,0.000027279,20.0428,588,56,342,7,0.293
2,1,21.2174,0.000018305,21.205,696,61,376,5,0.282
2,0,21.8113,0.000021427,21.7988,709,54,352,4,0.323
2,0,21.3658,0.000132235,21.353,689,61,358,4,0.33
2,0,20.0957,0.000097992,20.0828,476,54,368,6,0.307
2,0,20.6117,0.000074342,20.5965,853,57,316,6,0.342
2,1,20.3288,0.000023914,20.3153,663,60,334,10,0.305
2,0,20.3816,0.000052981,20.3702,411,54,342,4,0.31
2,0,20.7305,0.000101143,20.7187,508,58,310,4,0.332
2,0,20.3589,0.000026517,20.3456,525,54,308,5,0.34
2,0,21.7419,0.000029313,21.7283,781,56,348,4,0.274
2,0,20.4829,0.000175168,20.4682,914,64,324,7,0.318
2,1,20.0274,0.000017503,20.0143,739,63,382,6,0.322
2,1,20.2116,0.000049116,20.1978,527,56,308,6,0.318
2,1,20.3686,0.00002162,20.3559,792,60,306,4,0.313
2,1,20.6573,0.000020572,20.6443,881,74,466,6,0.316
2,0,20.8129,0.000020403,20.7996,545,59,334,5,0.315
2,0,20.7671,0.000112197,20.7545,1107,62,328,4,0.321
2,1,21.0989,0.000028421,21.0869,475,64,378,9,0.32
2,1,20.1908,0.000105184,20.1778,582,62,346,7,0.32
2,1,20.2059,0.000145482,20.1934,879,56,324,7,0.311
2,1,20.8061,0.000019946,20.7936,447,55,324,5,0.318
2,0,20.7159,0.000103034,20.7033,976,60,360,4,0.342
2,0,20.2568,0.000117753,20.2444,1204,67,376,5,0.294
2,1,21.377,0.000021035,21.3645,461,60,372,6,0.316
2,0,20.4546,0.000100981,20.442,468,43,348,4,0.306
2,0,20.5395,0.000098341,20.527,598,57,342,4,0.317
2,0,21.3524,0.000033898,21.3399,745,71,350,3,0.318
2,0,20.8102,0.000119927,20.7972,940,66,372,7,0.325
2,1,20.2013,0.000024653,20.1881,803,68,352,5,0.328
2,1,21.6867,0.000102964,21.6738,1012,67,374,6,0.298
2,1,20.8409,0.00009706,20.828,869,65,416,5,0.351
2,0,20.5297,0.000122153,20.5163,933,58,338,5,0.334
2,0,21.1946,0.000113427,21.1819,1561,65,354,6,0.323
2,1,22.0763,0.000030457,22.064,687,63,392,6,0.301
2,0,20.4951,0.000123053,20.4818,634,53,360,3,0.327
2,1,21.5163,0.000093059,21.5035,942,56,342,8,0.318
2,0,20.0157,0.000018612,20.003,729,65,340,4,0.349
2,0,21.586,0.000096784,21.5747,602,53,328,5,0.338
2,0,20.7117,0.000021259,20.6985,1451,75,374,5,0.326
2,0,20.7343,0.000093945,20.7217,561,63,324,6,0.324
2,0,20.2864,0.000092011,20.2739,476,47,332,4,0.3
2,0,20.0653,0.000020919,20.0526,1136,47,286,4,0.327
2,0,20.0981,0.00009217,20.0856,384,44,300,6,0.336
2,1,20.5124,0.00009251,20.5001,1096,60,310,5,0.315
2,0,20.0838,0.00002054,20.0711,670,60,342,2,0.33
2,0,20.3517,0.000093327,20.3389,679,49,320,4,0.343
