PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,1,20.0072,4.0932e-05,20.0052,113490,679,11816,10,0.34
2,1,20.0624,2.7467e-05,20.0604,101285,707,12068,12,0.333
2,1,20.069,2.8527e-05,20.067,93529,685,11658,16,0.31
2,1,20.0064,0.000236805,20.0043,89749,677,11546,11,0.281
2,1,20.0247,2.336e-05,20.023,96337,678,11624,7,0.309
2,1,20.041,0.000212811,20.039,104846,692,11964,9,0.294
2,1,20.0184,0.000153197,20.0164,86673,697,11974,10,0.319
2,1,20.0102,2.6699e-05,20.0084,86112,691,11836,7,0.278
2,1,20.0771,2.0453e-05,20.0766,81868,665,11646,9,0.307
2,1,20.0083,2.6658e-05,20.0065,97153,695,11780,11,0.289
2,1,20.0971,0.000210782,20.095,102411,700,11710,11,0.316
2,1,20.003,0.000191282,20.0012,94718,663,11386,10,0.29
2,1,20.0492,0.00023754,20.0473,89685,686,11598,6,0.321
2,1,20.0255,2.1759e-05,20.0238,84760,709,11890,11,0.305
2,1,20.0238,0.000195457,20.0219,80659,681,11754,9,0.327
2,1,20.0469,0.000204495,20.0449,101240,688,11666,9,0.326
2,1,20.0498,0.000187109,20.0478,96320,677,11618,10,0.307
2,1,20.0425,0.000162022,20.04,95426,710,11866,10,0.332
2,1,20.0052,0.000359495,20.003,91668,661,11664,7,0.318
2,1,20.0541,3.4692e-05,20.0523,98313,696,12042,8,0.327
2,1,20.0402,0.000160156,20.0382,89441,691,11786,14,0.324
2,1,20.0141,1.6757e-05,20.0123,82468,702,11942,10,0.315
2,1,20.052,2.7748e-05,20.0502,91813,636,11254,13,0.331
2,1,20.0283,0.000148208,20.0264,93646,684,11718,9,0.321
2,1,20.0387,0.000171484,20.0366,90331,665,11640,6,0.323
2,1,20.0476,1.8854e-05,20.0457,91149,694,12044,13,0.331
2,1,20.0348,0.000173883,20.0327,95738,695,11754,11,0.318
2,1,20.079,1.7075e-05,20.0785,91656,721,12226,9,0.312
2,1,20.0705,2.5251e-05,20.0683,88994,719,11958,10,0.321
2,1,20.0345,0.000219536,20.0325,89866,655,11504,7,0.341
2,1,20.0846,2.7056e-05,20.0828,87498,660,11704,12,0.31
2,1,20.0419,2.4614e-05,20.0401,86171,668,11478,10,0.322
2,1,20.0551,2.2617e-05,20.0533,96943,695,11708,9,0.333
2,1,20.0532,1.9939e-05,20.0515,86281,697,11570,9,0.321
2,1,20.0077,2.1723e-05,20.0059,103063,686,11526,7,0.298
2,1,20.0273,2.124e-05,20.0255,107080,702,11824,8,0.325
2,1,20.1013,1.9554e-05,20.0997,90775,674,11762,10,0.303
2,1,20.0049,1.9058e-05,20.0033,88767,716,11864,10,0.299
2,1,20.0301,2.1039e-05,20.0285,99103,700,12000,8,0.319
2,1,20.0775,1.9552e-05,20.0756,86200,675,11890,10,0.324
2,1,20.0629,1.6212e-05,20.0612,97426,733,12124,9,0.317
2,1,20.0489,1.7927e-05,20.047,92192,660,11674,7,0.318
2,1,20.0621,2.1215e-05,20.0602,95395,696,11732,7,0.314
2,1,20.0445,2.4545e-05,20.0427,96182,669,11626,9,0.318
2,1,20.0542,2.2111e-05,20.0524,101740,729,11944,7,0.285
2,1,20.0595,2.0595e-05,20.0577,84857,690,11980,7,0.323
2,1,20.0238,2.2826e-05,20.0221,83347,673,11606,8,0.3
2,1,20.0261,2.1315e-05,20.0239,93791,690,11514,8,0.321
2,1,20.019,1.7074e-05,20.0168,99076,688,11776,8,0.329
2,1,20.0146,1.8482e-05,20.0129,102542,652,11642,10,0.311
