PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,17.4412,0,0,346,101,100,12,0.53
3,1,3.31694,0,0,149,17,16,8,0.544
3,1,14.517,0,0,272,99,98,12,0.501
3,1,12.8098,0,0,303,77,76,10,0.528
3,0,20.0416,0,0,497,111,110,11,0.532
3,1,10.5197,0,0,321,75,74,11,0.51
3,1,5.00433,0,0,151,30,29,11,0.516
3,1,11.1419,0,0,341,69,68,12,0.528
3,1,16.1127,0,0,370,97,96,8,0.547
3,1,3.99386,0,0,117,22,21,7,0.556
3,1,11.0719,0,0,192,64,63,7,0.53
3,1,5.87837,0,0,137,45,44,11,0.52
3,1,11.4028,0,0,286,73,72,8,0.541
3,1,7.80304,0,0,214,51,50,6,0.562
3,1,3.0251,0,0,120,16,15,9,0.503
3,1,6.79358,0,0,167,36,35,11,0.54
3,1,4.95545,0,0,128,35,34,12,0.523
3,1,0.991107,0,0,50,8,7,5,0.503
3,0,20.2637,0,0,429,137,136,11,0.494
3,0,20.0806,0,0,548,115,114,9,0.518
3,0,20.0984,0,0,530,136,135,13,0.511
3,1,12.7498,0,0,307,76,75,11,0.511
3,1,9.73111,0,0,287,60,59,10,0.525
3,1,12.1715,0,0,317,70,69,6,0.507
3,1,12.5281,0,0,248,71,70,10,0.517
3,0,20.0908,0,0,493,129,128,9,0.509
3,1,4.68464,0,0,110,28,27,6,0.513
3,1,6.88061,0,0,227,46,45,6,0.529
3,1,11.403,0,0,416,78,77,6,0.515
3,1,7.97566,0,0,180,47,46,9,0.559
3,1,15.9868,0,0,362,107,106,5,0.559
3,1,15.0906,0,0,388,95,94,8,0.512
3,1,3.83183,0,0,135,28,27,10,0.549
3,1,10.6373,0,0,235,71,70,8,0.532
3,1,6.48652,0,0,368,39,38,6,0.517
3,1,7.01888,0,0,211,43,42,8,0.544
3,1,9.06129,0,0,221,56,55,7,0.517
3,1,3.95493,0,0,135,24,23,7,0.526
3,1,4.12637,0,0,180,28,27,8,0.545
3,1,2.37981,0,0,119,12,11,5,0.515
3,1,8.57573,0,0,336,56,55,13,0.539
3,1,2.22758,0,0,61,15,14,6,0.5
3,1,3.4073,0,0,138,21,20,8,0.525
3,1,3.13243,0,0,111,20,19,9,0.55
3,1,9.45031,0,0,241,55,54,7,0.495
3,1,9.44473,0,0,290,61,60,14,0.541
3,1,6.85353,0,0,207,34,33,11,0.525
3,1,1.8307,0,0,117,14,13,6,0.463
3,1,7.53489,0,0,225,42,41,6,0.519
3,1,1.85577,0,0,49,17,16,8,0.497
