PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,0.233037,0,0,333,46,45,11,0.322
3,1,0.054176,0,0,86,10,9,6,0.315
3,1,0.0613335,0,0,146,13,12,8,0.303
3,1,0.312129,0,0,584,70,69,12,0.31
3,1,0.253074,0,0,400,63,62,8,0.297
3,1,0.384379,0,0,837,82,81,7,0.324
3,1,0.386786,0,0,618,91,90,12,0.294
3,1,0.420337,0,0,745,100,99,7,0.337
3,1,0.15104,0,0,211,35,34,9,0.33
3,1,0.396543,0,0,544,98,97,9,0.34
3,1,0.119661,0,0,176,29,28,10,0.309
3,1,0.577243,0,0,1180,151,150,15,0.327
3,1,0.508776,0,0,885,121,120,9,0.312
3,1,0.335497,0,0,680,74,73,12,0.352
3,1,0.0605335,0,0,60,14,13,6,0.311
3,1,0.295266,0,0,481,81,80,9,0.313
3,1,0.241819,0,0,354,53,52,8,0.33
3,1,0.149857,0,0,199,35,34,9,0.329
3,1,0.5749,0,0,1008,135,134,9,0.297
3,1,0.139257,0,0,250,29,28,7,0.3
3,1,0.285318,0,0,420,70,69,9,0.32
3,1,0.0878277,0,0,184,19,18,7,0.32
3,1,0.129267,0,0,254,30,29,11,0.308
3,1,0.441902,0,0,630,103,102,17,0.332
3,1,0.107107,0,0,233,19,18,9,0.33
3,1,0.109077,0,0,202,25,24,7,0.315
3,1,0.0878411,0,0,157,21,20,7,0.303
3,1,0.541062,0,0,991,131,130,11,0.355
3,1,0.195953,0,0,281,46,45,13,0.342
3,1,0.481995,0,0,913,112,111,11,0.322
3,1,0.24441,0,0,425,58,57,10,0.327
3,1,0.289655,0,0,415,65,64,8,0.3
3,1,0.404188,0,0,661,97,96,12,0.317
3,1,0.472335,0,0,1139,103,102,12,0.324
3,1,0.197715,0,0,253,51,50,8,0.324
3,1,0.166737,0,0,340,38,37,10,0.309
3,1,0.383778,0,0,745,91,90,12,0.34
3,1,0.131329,0,0,172,26,25,7,0.298
3,1,0.369877,0,0,648,77,76,10,0.342
3,1,0.43289,0,0,795,107,106,12,0.316
3,1,0.236226,0,0,438,54,53,10,0.332
3,1,0.499311,0,0,475,117,116,10,0.326
3,1,0.262724,0,0,416,60,59,11,0.33
3,1,0.244138,0,0,616,61,60,8,0.308
3,1,0.169434,0,0,236,44,43,9,0.318
3,1,0.358609,0,0,672,80,79,10,0.279
3,1,0.0486833,0,0,68,13,12,8,0.313
3,1,0.237482,0,0,346,56,55,9,0.299
3,1,0.153335,0,0,251,36,35,6,0.344
3,1,0.0909259,0,0,128,23,22,7,0.343
