PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,0.932478,0,0,35,9,8,6,0.522
4,1,2.08377,0,0,119,14,13,7,0.515
4,1,2.65004,0,0,136,15,14,6,0.513
4,1,6.62988,0,0,172,42,41,9,0.514
4,1,2.0522,0,0,154,14,13,8,0.519
4,1,3.78283,0,0,172,22,21,9,0.541
4,1,1.84254,0,0,72,12,11,9,0.496
4,1,2.65325,0,0,114,17,16,10,0.522
4,1,2.59751,0,0,119,18,17,8,0.516
4,1,13.6024,0,0,432,81,80,11,0.52
4,1,4.9907,0,0,176,33,32,11,0.526
4,1,1.87218,0,0,121,10,9,9,0.51
4,1,2.43313,0,0,166,15,14,10,0.534
4,1,8.74188,0,0,242,47,46,11,0.539
4,1,4.66392,0,0,248,22,21,13,0.516
4,1,1.31696,0,0,45,9,8,5,0.562
4,1,6.33043,0,0,226,40,39,12,0.532
4,1,3.23503,0,0,109,24,23,9,0.539
4,1,9.43078,0,0,331,58,57,15,0.536
4,1,13.2284,0,0,382,74,73,11,0.533
4,1,2.50474,0,0,87,16,15,9,0.524
4,1,2.93505,0,0,96,18,17,9,0.507
4,1,3.9967,0,0,228,23,22,10,0.53
4,1,2.1652,0,0,167,15,14,9,0.538
4,1,4.28737,0,0,195,29,28,7,0.539
4,1,6.83608,0,0,236,43,42,11,0.521
4,1,5.20764,0,0,223,30,29,9,0.544
4,1,2.44166,0,0,106,17,16,8,0.54
4,1,4.05973,0,0,268,22,21,6,0.522
4,1,4.75544,0,0,163,28,27,9,0.496
4,1,2.00132,0,0,83,13,12,7,0.53
4,1,4.78395,0,0,126,29,28,11,0.545
4,1,1.97764,0,0,75,17,16,10,0.54
4,1,4.45598,0,0,132,29,28,11,0.524
4,1,1.26432,0,0,107,11,10,5,0.512
4,1,4.09878,0,0,127,24,23,12,0.53
4,1,5.17138,0,0,167,31,30,8,0.523
4,1,7.41372,0,0,315,46,45,13,0.537
4,1,1.82611,0,0,78,13,12,6,0.531
4,1,6.35014,0,0,263,31,30,9,0.483
4,1,3.68215,0,0,142,19,18,10,0.526
4,1,3.19377,0,0,136,17,16,8,0.53
4,1,5.08632,0,0,211,35,34,13,0.531
4,1,6.05353,0,0,327,38,37,12,0.533
4,1,2.91569,0,0,183,25,24,13,0.526
4,1,4.92961,0,0,297,29,28,12,0.521
4,1,10.6801,0,0,290,59,58,10,0.52
4,1,4.95853,0,0,188,34,33,8,0.508
4,1,2.70728,0,0,82,17,16,9,0.52
4,1,3.35313,0,0,182,21,20,9,0.52
