PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,0.104986,0,0,234,30,29,10,0.319
4,1,0.145491,0,0,249,33,32,10,0.338
4,1,0.219568,0,0,503,50,49,9,0.311
4,1,0.0906657,0,0,220,23,22,8,0.295
4,1,0.195738,0,0,371,46,45,13,0.336
4,1,0.0266157,0,0,40,13,12,7,0.313
4,1,0.197671,0,0,361,50,49,8,0.288
4,1,0.146572,0,0,291,36,35,9,0.307
4,1,0.133083,0,0,326,32,31,9,0.3
4,1,0.326292,0,0,817,75,74,13,0.336
4,1,0.0887396,0,0,242,24,23,8,0.33
4,1,0.0352302,0,0,55,10,9,6,0.339
4,1,0.247351,0,0,503,63,62,13,0.317
4,1,0.14923,0,0,240,36,35,11,0.31
4,1,0.0794023,0,0,191,21,20,9,0.28
4,1,0.107211,0,0,256,25,24,10,0.306
4,1,0.409637,0,0,751,91,90,12,0.322
4,1,0.0908026,0,0,209,22,21,10,0.294
4,1,0.380617,0,0,759,86,85,9,0.326
4,1,0.048856,0,0,196,16,15,8,0.33
4,1,0.232614,0,0,466,54,53,10,0.341
4,1,0.0702288,0,0,118,18,17,8,0.308
4,1,0.061752,0,0,107,16,15,8,0.31
4,1,0.158038,0,0,302,38,37,11,0.323
4,1,0.197333,0,0,354,46,45,11,0.319
4,1,0.0294644,0,0,62,13,12,8,0.332
4,1,0.0989133,0,0,220,22,21,8,0.339
4,1,0.20135,0,0,490,47,46,11,0.309
4,1,0.162089,0,0,300,40,39,12,0.306
4,1,0.0825322,0,0,169,18,17,7,0.319
4,1,0.462065,0,0,1069,107,106,13,0.335
4,1,0.126202,0,0,296,35,34,9,0.33
4,1,0.0570254,0,0,109,13,12,7,0.297
4,1,0.194092,0,0,387,47,46,12,0.311
4,1,0.0799643,0,0,114,22,21,9,0.306
4,1,0.187692,0,0,297,45,44,10,0.316
4,1,0.0742896,0,0,201,20,19,8,0.283
4,1,0.527121,0,0,1071,119,118,12,0.312
4,1,0.290199,0,0,441,68,67,12,0.317
4,1,0.198094,0,0,388,44,43,10,0.335
4,1,0.0332258,0,0,37,12,11,7,0.327
4,1,0.229709,0,0,511,54,53,10,0.309
4,1,0.174607,0,0,362,41,40,11,0.318
4,1,0.105886,0,0,127,22,21,7,0.328
4,1,0.122938,0,0,272,31,30,12,0.309
4,1,0.0749103,0,0,95,16,15,8,0.313
4,1,0.283472,0,0,639,63,62,11,0.323
4,1,0.0566692,0,0,110,15,14,7,0.313
4,1,0.171707,0,0,320,37,36,9,0.314
4,1,0.166836,0,0,316,41,40,10,0.318
