BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.679353,0.044695,0.724048,10004,14672,376
0.677247,0.0446067,0.721854,10004,14672,376
0.687566,0.0465974,0.734163,10004,14672,376
0.692032,0.0451026,0.737134,10004,14672,375
0.686129,0.045242,0.731371,10004,14672,375
0.689143,0.0443877,0.733531,10004,14672,376
0.692843,0.0448436,0.737687,10004,14672,376
0.700039,0.0489689,0.749008,10004,14672,374
0.696272,0.0444212,0.740693,10004,14672,375
0.685146,0.047051,0.732197,10004,14672,375
0.689588,0.0444398,0.734027,10004,14672,376
0.69111,0.0449146,0.736025,10004,14672,376
0.679661,0.046249,0.72591,10004,14672,374
0.68514,0.044337,0.729477,10004,14672,376
0.69916,0.0475106,0.746671,10004,14672,376
0.681117,0.044316,0.725433,10004,14672,375
0.676934,0.0442349,0.721169,10004,14672,375
0.677438,0.0442786,0.721716,10004,14672,376
0.681137,0.0446265,0.725764,10004,14672,374
0.676652,0.0444015,0.721053,10004,14672,374
0.67909,0.0461352,0.725225,10004,14672,374
0.679511,0.0444287,0.72394,10004,14672,376
0.676308,0.0448501,0.721158,10004,14672,374
0.676752,0.0449672,0.721719,10004,14672,375
0.679611,0.0449004,0.724511,10004,14672,376
0.67649,0.0448785,0.721368,10004,14672,376
0.677804,0.044848,0.722652,10004,14672,376
0.675823,0.0448226,0.720646,10004,14672,374
0.676168,0.0447948,0.720963,10004,14672,375
0.677076,0.0450115,0.722088,10004,14672,376
0.675795,0.044956,0.720751,10004,14672,376
0.677522,0.0447256,0.722247,10004,14672,376
0.676719,0.0446996,0.721419,10004,14672,375
0.675815,0.0447302,0.720545,10004,14672,376
0.675086,0.0447487,0.719835,10004,14672,374
0.676017,0.044804,0.720821,10004,14672,376
0.675676,0.0447145,0.72039,10004,14672,375
0.675319,0.0447112,0.72003,10004,14672,376
0.678903,0.0447981,0.723701,10004,14672,376
0.675703,0.0447099,0.720413,10004,14672,374
0.675946,0.0447826,0.720729,10004,14672,376
0.678592,0.0448746,0.723466,10004,14672,376
0.678384,0.0455893,0.723973,10004,14672,374
0.675069,0.0447041,0.719773,10004,14672,375
0.675258,0.0448762,0.720134,10004,14672,375
0.676873,0.044681,0.721554,10004,14672,374
0.679389,0.0448017,0.724191,10004,14672,374
0.674995,0.0447056,0.7197,10004,14672,375
0.679423,0.0456145,0.725038,10004,14672,375
0.677981,0.0447021,0.722684,10004,14672,375
