PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,1,8.19393,6.4118e-05,8.19325,211961,521,4416,37,0.114
1,1,8.33293,2.7795e-05,8.3323,223003,547,4556,40,0.124
1,0,20.0256,4.1854e-05,20.0219,1016610,1328,12284,35,0.101
1,1,6.00005,6.0642e-05,5.99924,113911,398,3042,34,0.122
1,1,4.5843,3.483e-05,4.58374,96908,323,2668,34,0.107
1,1,8.94504,6.0701e-05,8.94443,229488,641,5356,43,0.099
1,1,9.06244,3.7071e-05,9.06165,273576,627,5152,38,0.099
1,1,1.93841,2.2291e-05,1.93784,28569,177,1044,32,0.112
1,1,16.7592,0.00026243,16.7584,786293,1181,10856,42,0.098
1,0,20.0157,0.000177964,20.0122,1156066,1334,12480,35,0.114
1,1,7.46447,0.000878924,7.46302,188257,519,4216,47,0.113
1,1,13.456,7.5479e-05,13.4551,563287,936,8492,40,0.112
1,1,14.5833,0.000224591,14.5825,596153,1054,9234,51,0.095
1,1,8.1405,0.000233346,8.13972,205875,519,4378,37,0.11
1,1,10.1944,0.000224526,10.1934,332675,705,6196,51,0.108
1,1,13.1614,0.000299566,13.1603,495051,983,8290,48,0.096
1,1,4.54117,2.3464e-05,4.54065,74066,324,2418,33,0.116
1,0,20.0202,0.000440841,20.0156,985552,1340,12600,29,0.109
1,1,3.31905,0.000834958,3.31763,43721,226,1636,34,0.101
1,0,20.0094,0.000414066,20.0055,980712,1428,12908,30,0.1
1,1,11.929,4.4253e-05,11.9283,423647,789,6892,39,0.085
1,1,12.919,2.243e-05,12.9185,516608,830,7666,40,0.111
1,0,20.0476,0.000179532,20.044,1083010,1432,13116,29,0.111
1,1,3.43813,0.000186638,3.43717,47301,276,1914,34,0.099
1,1,7.9122,0.000437634,7.91127,187770,564,4678,45,0.118
1,1,15.4906,0.000247451,15.4896,709288,1053,9496,36,0.096
1,1,3.06661,2.5172e-05,3.06591,42089,218,1530,33,0.097
1,0,20.0171,0.000394036,20.013,1045034,1422,12888,37,0.102
1,1,4.62401,0.000301294,4.62299,86228,348,2624,35,0.096
1,1,15.3612,0.000250944,15.3604,647751,1096,9714,39,0.112
1,0,20.0144,0.000220854,20.0108,1044714,1353,12612,36,0.108
1,1,9.95056,7.9366e-05,9.94977,276508,691,5856,44,0.109
1,1,18.1103,0.000213581,18.1092,904008,1243,11316,50,0.12
1,1,7.44691,0.000624821,7.44569,167686,481,4210,42,0.115
1,1,7.39831,0.000180583,7.39763,195588,501,4182,37,0.107
1,1,13.2162,0.000411703,13.215,410173,985,8686,54,0.097
1,1,11.8186,0.000175808,11.8179,375768,841,7374,47,0.099
1,1,6.26242,0.000183052,6.26171,128661,467,3588,51,0.103
1,0,20.0046,0.000273247,20.0008,1085728,1428,12866,34,0.116
1,1,11.901,0.000535072,11.8999,411549,864,7430,46,0.106
1,1,3.03928,2.3526e-05,3.03856,40067,237,1618,35,0.105
1,0,20.0109,0.000164866,20.0086,1023370,1356,12646,42,0.121
1,0,20.0214,0.000327811,20.0177,1084041,1314,12418,32,0.1
1,1,8.13316,0.000743216,8.13178,226320,569,4948,40,0.11
1,0,20.0108,0.000405354,20.0069,1004074,1357,12846,34,0.108
1,1,8.45971,7.5246e-05,8.45901,188307,577,4870,36,0.116
1,1,2.48654,1.8034e-05,2.48602,43566,208,1322,30,0.101
1,1,5.55748,0.000423629,5.55651,99284,347,2900,38,0.109
1,0,20.0316,0.000209878,20.0276,1222187,1436,13180,29,0.13
1,1,13.6153,0.000115337,13.6144,480553,874,8036,34,0.101
