PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,1,100.155,5.5054e-05,100.151,3788141,2777,59518,50,0.102
2,1,100.015,2.4482e-05,100.011,3432588,2790,59196,53,0.113
2,1,100.047,0.000198253,100.041,3669274,2800,59352,57,0.099
2,1,100.056,6.2457e-05,100.05,3831854,2760,57852,65,0.11
PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
2,1,20.0413,9.8436e-05,20.0388,276174,683,10658,42,0.114
2,1,20.0092,1.9934e-05,20.0072,278337,654,9996,39,0.115
2,1,20.0192,2.1711e-05,20.0172,298913,672,10212,34,0.111
2,1,20.0364,2.0517e-05,20.0344,223723,650,9828,32,0.13
2,1,20.0994,0.000716451,20.0957,308507,673,10236,31,0.11
2,0,20.0477,2.0137e-05,20.0447,317606,650,9654,26,0.103
2,1,20.0534,3.6911e-05,20.0513,307094,678,10256,36,0.106
2,0,20.063,3.7318e-05,20.0602,248584,605,9714,21,0.119
2,1,20.0183,0.000193561,20.0157,321294,689,10532,35,0.13
2,1,20.0069,0.000129553,20.0029,273934,635,9850,40,0.122
2,1,20.0394,2.1813e-05,20.0374,309650,736,10998,34,0.118
2,1,20.0185,5.3739e-05,20.0163,261281,689,10430,30,0.104
2,1,20.0074,1.9524e-05,20.0054,348914,682,10392,36,0.098
2,1,20.0319,2.4247e-05,20.0297,354038,697,10602,41,0.111
2,1,20.0318,2.3227e-05,20.0297,274604,697,10310,32,0.107
2,0,20.112,1.9707e-05,20.1099,264973,662,10214,9,0.111
2,1,20.0458,2.246e-05,20.0439,283213,654,10188,34,0.123
2,1,20.0865,2.6305e-05,20.0845,263466,657,9790,37,0.119
2,1,20.0295,2.3036e-05,20.0274,294368,638,9700,38,0.1
2,1,20.0255,2.1828e-05,20.0232,326622,744,10882,37,0.101
2,0,20.093,1.6733e-05,20.0917,341205,686,10458,28,0.114
2,1,20.0352,0.000169222,20.033,252975,685,10568,35,0.116
2,1,20.049,0.000169938,20.0468,261087,702,10506,35,0.1
2,1,20.1434,1.774e-05,20.1413,292655,697,10932,41,0.095
2,0,20.0515,1.692e-05,20.0487,241573,706,10338,23,0.104
2,0,20.0874,0.000194833,20.0857,280411,720,10828,27,0.119
2,1,20.0056,2.0616e-05,20.0034,275080,656,9640,31,0.12
2,1,20.0224,0.000136251,20.0202,275903,671,10498,37,0.117
2,1,20.0286,0.000149185,20.0264,314804,718,10816,37,0.111
2,1,20.0577,1.6694e-05,20.0557,273387,599,9280,32,0.1
2,0,20.015,0.000227123,20.012,284558,655,10696,27,0.105
2,1,20.0187,0.000168652,20.0164,287039,646,9794,37,0.092
2,0,20.0109,0.000216353,20.0084,308068,773,11642,8,0.112
2,1,20.0234,0.000168743,20.0212,316352,690,10492,34,0.106
2,1,20.0415,0.000134267,20.0394,224046,648,10056,36,0.112
2,1,20.0361,1.9576e-05,20.0341,260258,640,10066,37,0.121
2,1,20.0311,0.00015195,20.0287,249772,732,10928,36,0.115
2,0,20.0372,2.0819e-05,20.035,257753,654,10196,5,0.087
2,1,20.015,0.000231563,20.0127,254835,688,10320,37,0.11
2,0,20.0097,0.000159039,20.0067,272710,666,10118,30,0.107
2,1,20.1014,0.000134496,20.0992,258848,655,10138,35,0.123
2,1,20.0036,0.000196445,20.0013,294772,636,9796,39,0.12
2,1,20.0209,0.000230757,20.0184,363365,653,9964,40,0.111
2,1,20.0598,0.000277929,20.0573,312305,699,10804,33,0.114
2,1,20.0442,0.000167912,20.042,243558,609,9642,38,0.099
2,1,20.0223,0.0002916,20.0198,273869,641,10004,37,0.113
2,1,20.005,0.000161517,20.0027,309560,715,10900,33,0.085
2,1,20.0874,0.000214173,20.085,267699,657,10144,32,0.115
2,1,20.0112,0.000146985,20.009,289144,636,9628,30,0.096
2,1,20.1202,0.000167126,20.118,293863,689,10318,32,0.104
