PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,5.04381,0,0,22803,1068,1067,43,0.101
3,1,3.89143,0,0,15804,875,874,40,0.11
3,1,7.49306,0,0,36096,1767,1766,46,0.118
3,1,6.07089,0,0,28259,1398,1397,44,0.122
3,1,4.02761,0,0,17558,864,863,34,0.106
3,1,5.52247,0,0,26301,1267,1266,47,0.106
3,1,4.66253,0,0,22611,1013,1012,43,0.12
3,1,9.55666,0,0,43143,2728,2727,58,0.109
3,1,6.36726,0,0,31946,1375,1374,40,0.112
3,1,4.69183,0,0,20512,1087,1086,42,0.112
3,1,4.81579,0,0,20471,1145,1144,47,0.121
3,1,4.00993,0,0,18503,860,859,43,0.11
3,1,5.0958,0,0,21384,1243,1242,40,0.113
3,1,5.41877,0,0,22791,1358,1357,42,0.109
3,1,5.27786,0,0,23077,1338,1337,46,0.099
3,1,4.22388,0,0,20211,873,872,44,0.091
3,1,5.8583,0,0,24174,1525,1524,40,0.106
3,1,5.98157,0,0,28924,1232,1231,47,0.095
3,1,6.93533,0,0,32212,1515,1514,48,0.11
3,1,5.50041,0,0,24657,1243,1242,48,0.117
3,1,3.66252,0,0,16042,681,680,42,0.098
3,1,5.64504,0,0,27114,1145,1144,43,0.101
3,1,5.39794,0,0,30502,923,922,47,0.11
3,1,4.85622,0,0,21060,1135,1134,47,0.107
3,1,4.69965,0,0,21654,1040,1039,43,0.142
3,1,3.76749,0,0,18713,698,697,39,0.096
3,1,4.10747,0,0,20141,826,825,44,0.104
3,1,10.3753,0,0,47346,3014,3013,45,0.113
3,1,4.84603,0,0,22612,1053,1052,52,0.12
3,1,2.93104,0,0,11385,641,640,38,0.123
3,1,4.28212,0,0,20012,919,918,38,0.102
3,1,7.16101,0,0,30858,1861,1860,45,0.108
3,1,6.85721,0,0,30628,1852,1851,47,0.108
3,1,5.67399,0,0,24225,1467,1466,46,0.1
3,1,3.85227,0,0,17401,819,818,47,0.105
3,1,4.44753,0,0,21822,937,936,48,0.114
3,1,7.71939,0,0,32008,2169,2168,41,0.118
3,1,5.24892,0,0,25688,1135,1134,41,0.098
3,1,6.07541,0,0,28065,1485,1484,52,0.097
3,1,9.12878,0,0,37805,2746,2745,57,0.082
3,1,4.24798,0,0,19808,909,908,41,0.118
3,1,5.97699,0,0,25578,1571,1570,36,0.102
3,1,6.81772,0,0,33147,1695,1694,41,0.109
3,1,6.06474,0,0,25438,1582,1581,45,0.107
3,1,4.00076,0,0,18308,798,797,40,0.103
3,1,4.91202,0,0,22957,1116,1115,49,0.102
3,1,4.22315,0,0,18842,936,935,42,0.1
3,1,3.63679,0,0,16032,723,722,37,0.115
3,1,4.94824,0,0,21460,1204,1203,42,0.113
3,1,6.58397,0,0,28632,1685,1684,40,0.099
