PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,115.72,0,0,15923,467,466,42,0.118
PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,126.487,0,0,19011,483,482,41,0.107
4,1,108.163,0,0,16404,401,400,46,0.119
4,1,147.657,0,0,21681,563,562,39,0.101
4,1,100.276,0,0,13727,388,387,40,0.109
4,1,91.7186,0,0,12713,357,356,40,0.114
4,1,96.6886,0,0,14801,322,321,35,0.092
4,1,97.8844,0,0,15249,339,338,42,0.112
4,1,89.3657,0,0,14041,283,282,39,0.105
4,1,93.1133,0,0,13653,322,321,43,0.113
4,0,200.29,0,0,33549,676,674,30,0.088
