PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,0,20.164,3.4918e-05,20.1563,733,83,528,5,0.505
1,0,20.2038,2.2608e-05,20.1971,1004,93,492,4,0.483
1,0,20.0148,2.1221e-05,20.0079,946,78,460,5,0.521
1,1,7.63141,2.1044e-05,7.62569,355,38,162,8,0.468
1,1,7.20632,2.2121e-05,7.20066,399,47,194,11,0.491
1,0,20.4438,7.8769e-05,20.4379,887,91,528,2,0.491
1,0,20.1433,3.2211e-05,20.136,829,87,482,6,0.469
1,1,18.7558,2.1092e-05,18.7498,1037,77,434,12,0.516
1,1,12.0983,9.2254e-05,12.0924,687,66,326,11,0.499
1,1,16.7053,3.3399e-05,16.6996,741,68,426,12,0.506
1,0,20.0373,4.1855e-05,20.0304,1214,90,590,3,0.5
1,0,21.1164,2.1916e-05,21.1093,1140,85,498,2,0.516
1,1,9.58674,2.0619e-05,9.58077,416,49,230,10,0.506
1,1,6.91018,6.9551e-05,6.90436,390,46,164,10,0.509
1,0,20.3524,8.0262e-05,20.345,1248,82,498,6,0.527
1,0,20.0068,2.0589e-05,20,1260,82,464,10,0.522
1,1,18.8561,2.1723e-05,18.8505,1417,82,500,11,0.524
1,1,17.051,9.3974e-05,17.0445,817,82,428,10,0.516
1,1,14.4977,1.7118e-05,14.4922,763,72,372,9,0.498
1,0,20.4188,2.0711e-05,20.4115,1157,102,562,6,0.523
1,0,20.2912,2.1049e-05,20.2844,990,94,544,6,0.49
1,1,10.8245,1.8083e-05,10.8192,655,56,270,11,0.487
1,1,10.0086,1.7772e-05,10.0029,438,52,234,12,0.498
1,1,16.4727,2.1347e-05,16.467,951,70,394,11,0.523
1,0,20.6276,2.1921e-05,20.6217,487,83,508,9,0.505
1,0,20.2009,2.2567e-05,20.1942,731,81,484,6,0.504
1,0,20.7323,2.1685e-05,20.7257,841,87,520,9,0.507
1,1,18.4625,2.1173e-05,18.4572,649,87,462,13,0.501
1,1,15.5612,2.1764e-05,15.5551,467,71,382,11,0.505
1,1,15.3659,2.2289e-05,15.3604,697,91,420,17,0.474
1,1,14.144,3.1222e-05,14.1384,566,75,386,11,0.499
1,1,14.4352,2.1344e-05,14.4296,735,65,332,10,0.505
1,0,20.2256,2.1621e-05,20.2188,1238,88,470,5,0.498
1,1,8.32095,2.1431e-05,8.3154,215,47,224,11,0.499
1,1,4.10555,3.2131e-05,4.10011,221,29,106,10,0.521
1,0,20.6573,2.1544e-05,20.6506,1411,87,486,6,0.504
1,1,2.09124,2.0358e-05,2.08578,144,25,64,12,0.493
1,0,20.0245,3.1392e-05,20.0179,1220,95,494,2,0.482
1,1,19.4693,2.0751e-05,19.4638,837,92,488,13,0.52
1,0,20.8203,2.2632e-05,20.8136,713,84,504,5,0.516
1,1,6.31379,3.1432e-05,6.30821,299,41,178,12,0.511
1,0,20.9345,2.1523e-05,20.9289,954,86,498,2,0.498
1,0,20.0064,2.525e-05,19.999,971,76,524,6,0.502
1,1,12.4255,2.0424e-05,12.4199,822,63,302,9,0.524
1,0,20.2693,2.0574e-05,20.2627,844,82,510,6,0.504
1,1,6.9344,2.0686e-05,6.92883,319,43,176,11,0.493
1,1,19.6902,2.1723e-05,19.6846,957,100,498,12,0.502
1,1,20.1581,2.1024e-05,20.1523,1110,87,520,12,0.502
1,1,20.1625,2.5765e-05,20.1561,789,82,474,9,0.505
1,0,20.9366,3.1736e-05,20.9298,898,66,446,4,0.475
