PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,8.05624,0,0,454,91,90,15,0.488
3,1,7.02246,0,0,251,73,72,15,0.522
3,1,8.65664,0,0,526,87,86,12,0.479
3,1,2.33862,0,0,98,26,25,10,0.487
3,1,17.6052,0,0,1023,203,202,14,0.483
3,1,11.9851,0,0,654,135,134,18,0.468
3,1,7.45027,0,0,400,79,78,14,0.502
3,1,19.9062,0,0,969,230,229,18,0.5
3,1,10.3956,0,0,569,124,123,17,0.506
3,1,16.2197,0,0,865,200,199,14,0.496
3,1,18.7032,0,0,1196,234,233,17,0.519
3,1,17.4359,0,0,716,187,186,14,0.507
3,1,9.67396,0,0,483,115,114,14,0.52
3,0,20.0465,0,0,1204,230,229,11,0.519
3,0,20.0592,0,0,1082,239,238,5,0.497
3,1,9.59758,0,0,666,101,100,15,0.532
3,0,20.0091,0,0,1112,239,238,9,0.514
3,1,15.1831,0,0,819,184,183,14,0.475
3,1,10.3755,0,0,467,123,122,12,0.48
3,1,9.45351,0,0,416,105,104,14,0.488
3,1,8.67355,0,0,384,98,97,13,0.501
3,1,14.2734,0,0,902,179,178,16,0.514
3,1,19.549,0,0,1013,234,233,22,0.5
3,1,16.8641,0,0,885,199,198,17,0.515
3,0,20.0648,0,0,1232,244,243,8,0.503
3,1,12.0349,0,0,636,128,127,14,0.525
3,1,5.88254,0,0,333,63,62,12,0.509
3,1,16.8728,0,0,703,188,187,19,0.501
3,1,12.68,0,0,639,158,157,17,0.504
3,1,9.77489,0,0,478,101,100,11,0.531
3,1,7.97021,0,0,463,95,94,13,0.495
3,1,5.63248,0,0,321,69,68,11,0.512
3,1,3.20397,0,0,206,42,41,12,0.512
3,1,2.74443,0,0,142,32,31,14,0.487
3,1,3.5204,0,0,229,37,36,12,0.495
3,1,12.3586,0,0,761,142,141,15,0.539
3,1,14.0045,0,0,788,173,172,15,0.496
3,1,10.9006,0,0,564,125,124,18,0.496
3,1,19.3596,0,0,1070,229,228,17,0.502
3,0,20.0796,0,0,1295,243,242,10,0.51
3,1,16.0515,0,0,843,186,185,13,0.487
3,1,16.1797,0,0,799,179,178,16,0.488
3,0,20.1587,0,0,1227,241,240,13,0.495
3,1,11.2284,0,0,693,121,120,15,0.503
3,0,20.0881,0,0,1260,239,238,12,0.477
3,1,2.17593,0,0,109,21,20,10,0.5
3,1,14.5044,0,0,831,167,166,19,0.513
3,1,10.9442,0,0,564,123,122,17,0.516
3,1,12.6751,0,0,689,149,148,15,0.481
3,1,8.40845,0,0,369,91,90,10,0.504
