PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,3.19616,0,0,136,33,32,11,0.508
4,1,5.40571,0,0,257,52,51,15,0.502
4,1,3.86807,0,0,213,44,43,10,0.523
4,1,6.34888,0,0,411,65,64,13,0.491
4,1,2.88157,0,0,189,34,33,11,0.498
4,1,5.22166,0,0,275,55,54,11,0.531
4,1,8.52076,0,0,399,88,87,14,0.494
4,1,11.928,0,0,578,126,125,19,0.497
4,1,6.73704,0,0,359,72,71,14,0.508
4,1,18.2686,0,0,952,195,194,16,0.497
4,1,7.35287,0,0,394,86,85,12,0.535
4,0,20.0394,0,0,974,207,205,10,0.507
4,1,1.21063,0,0,67,15,14,9,0.517
4,1,2.87625,0,0,129,30,29,11,0.487
4,1,15.4159,0,0,865,164,163,20,0.499
4,1,10.4487,0,0,543,115,114,15,0.5
4,1,6.83267,0,0,400,73,72,13,0.484
4,1,4.15534,0,0,280,48,47,13,0.512
4,1,3.43117,0,0,218,38,37,13,0.49
4,1,9.68447,0,0,524,102,101,13,0.483
4,1,8.29222,0,0,406,79,78,15,0.503
4,1,15.3472,0,0,943,164,163,15,0.516
4,1,5.97715,0,0,346,53,52,12,0.497
4,1,3.40707,0,0,218,36,35,14,0.508
4,1,2.90758,0,0,129,30,29,13,0.498
4,1,6.65164,0,0,339,65,64,13,0.482
4,1,8.20478,0,0,510,90,89,17,0.488
4,1,10.8464,0,0,604,113,112,17,0.492
4,1,3.313,0,0,185,34,33,12,0.516
4,1,16.027,0,0,792,176,175,19,0.494
4,1,10.3046,0,0,532,104,103,15,0.51
4,1,11.9194,0,0,608,120,119,13,0.511
4,1,4.60951,0,0,260,52,51,12,0.497
4,1,10.7658,0,0,546,118,117,14,0.498
4,1,4.69818,0,0,241,49,48,14,0.493
4,1,10.0668,0,0,551,109,108,16,0.487
4,1,3.36559,0,0,221,40,39,12,0.533
4,1,10.7239,0,0,447,96,95,10,0.482
4,1,5.92858,0,0,266,51,50,17,0.504
4,1,16.3092,0,0,812,165,164,16,0.524
4,1,7.7503,0,0,368,77,76,14,0.505
4,1,7.94381,0,0,515,81,80,12,0.49
4,1,4.2903,0,0,234,43,42,11,0.491
4,1,2.46793,0,0,129,27,26,13,0.511
4,1,12.9158,0,0,672,121,120,16,0.478
4,1,2.08995,0,0,89,23,22,11,0.505
4,1,5.7721,0,0,266,61,60,14,0.497
4,1,7.44158,0,0,437,85,84,11,0.454
4,1,11.563,0,0,621,129,128,15,0.506
4,1,10.5775,0,0,618,110,109,24,0.507
