BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.465362,0.0375174,0.502879,8469,12112,265
0.461093,0.0374341,0.498528,8469,12112,265
0.462177,0.0374011,0.499578,8469,12112,264
0.464064,0.0374062,0.501471,8469,12112,264
0.46083,0.0374786,0.498309,8469,12112,265
0.460009,0.0375135,0.497522,8469,12112,265
0.459499,0.0374531,0.496952,8469,12112,265
0.459905,0.0375739,0.497479,8469,12112,266
0.460684,0.0376627,0.498347,8469,12112,265
0.463745,0.0375047,0.50125,8469,12112,265
0.461232,0.0374438,0.498676,8469,12112,266
0.463456,0.037955,0.501411,8469,12112,265
0.4639,0.0376961,0.501596,8469,12112,265
0.459511,0.0374384,0.496949,8469,12112,265
0.471668,0.039916,0.511584,8469,12112,265
0.465548,0.0374099,0.502958,8469,12112,264
0.460439,0.0375443,0.497983,8469,12112,266
0.463227,0.0375108,0.500738,8469,12112,265
0.460076,0.0372482,0.497325,8469,12112,265
0.463009,0.0386213,0.501631,8469,12112,266
0.459633,0.0374204,0.497054,8469,12112,264
0.459792,0.0373368,0.497129,8469,12112,265
0.461463,0.0373276,0.49879,8469,12112,265
0.46343,0.0375969,0.501026,8469,12112,265
0.461833,0.0374027,0.499236,8469,12112,264
0.460617,0.0373932,0.49801,8469,12112,266
0.461157,0.0374352,0.498592,8469,12112,265
0.460721,0.0373207,0.498041,8469,12112,265
0.460276,0.037337,0.497613,8469,12112,265
0.460592,0.0373906,0.497982,8469,12112,266
0.459796,0.0375872,0.497383,8469,12112,264
0.460515,0.0374972,0.498012,8469,12112,266
0.460271,0.0374632,0.497734,8469,12112,265
0.460173,0.0375029,0.497676,8469,12112,265
0.459949,0.0373797,0.497329,8469,12112,265
0.46046,0.0373786,0.497839,8469,12112,265
0.462525,0.0374546,0.499979,8469,12112,264
0.461172,0.037668,0.49884,8469,12112,265
0.460234,0.0376966,0.49793,8469,12112,266
0.461061,0.0384708,0.499532,8469,12112,265
0.460586,0.0375498,0.498136,8469,12112,265
0.460774,0.0374661,0.498241,8469,12112,264
0.460993,0.037572,0.498565,8469,12112,265
0.461564,0.0375629,0.499127,8469,12112,264
0.461722,0.0376815,0.499404,8469,12112,264
0.46111,0.0375466,0.498656,8469,12112,265
0.462722,0.0377871,0.500509,8469,12112,265
0.46143,0.0376622,0.499092,8469,12112,264
0.461404,0.0375964,0.499001,8469,12112,265
0.46137,0.0376509,0.499021,8469,12112,265
