PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,0,20.4647,0.000033074,20.4581,5958,92,568,6,0.135
1,0,20.4356,0.00003481,20.4286,6675,95,648,3,0.151
1,0,20.0785,0.000168863,20.0708,5767,94,674,7,0.138
1,0,20.1847,0.000018644,20.1779,4889,110,608,7,0.142
1,0,20.0634,0.000016863,20.0566,6816,106,646,2,0.158
1,0,20.977,0.000068885,20.9699,3809,98,596,4,0.131
1,0,20.3227,0.000110751,20.315,3468,98,594,2,0.134
1,0,20.5692,0.000021006,20.5621,5262,112,680,2,0.147
1,0,20.281,0.000017263,20.2742,5274,102,596,3,0.153
1,0,20.3295,0.000017816,20.3224,3434,95,576,2,0.13
1,0,20.5039,0.00009074,20.4955,3306,87,530,8,0.12
1,0,20.0054,0.000056217,19.9983,4926,94,552,10,0.13
1,0,20.0371,0.000021775,20.03,3470,91,572,12,0.115
1,0,20.3002,0.000084903,20.2926,6404,93,632,3,0.148
1,0,20.3085,0.00002234,20.3014,4069,78,502,4,0.138
1,0,20.5943,0.000034845,20.5869,4915,94,604,5,0.153
1,0,20.1649,0.00001803,20.1577,5453,92,522,4,0.143
1,0,20.1541,0.000031226,20.1469,2889,99,578,4,0.139
1,0,20.0877,0.000032837,20.0803,4414,87,554,3,0.127
1,0,20.727,0.000017725,20.7211,6528,97,566,3,0.136
1,0,20.5634,0.000017071,20.5565,4257,78,506,2,0.142
1,0,20.2337,0.000035234,20.2264,5710,93,658,4,0.16
1,0,20.2016,0.000017824,20.1944,2219,98,552,2,0.128
1,0,20.8162,0.000018927,20.8088,4568,107,682,3,0.138
1,0,20.2828,0.000022055,20.2755,4467,102,528,6,0.128
1,0,20.5935,0.000019154,20.5866,3118,87,548,3,0.141
1,0,20.435,0.000017824,20.428,4711,85,614,3,0.136
1,0,20.0482,0.000022412,20.0422,3782,103,660,5,0.143
1,0,20.1782,0.000034528,20.1711,3135,81,478,4,0.147
1,0,20.1395,0.000017046,20.1322,4206,101,664,3,0.139
1,0,20.277,0.000030924,20.2699,2820,90,568,5,0.133
1,0,20.2764,0.000017806,20.2693,3339,105,692,4,0.119
1,0,20.2526,0.000018492,20.2456,3992,90,582,4,0.137
1,0,20.0837,0.000022972,20.0766,4930,85,580,4,0.131
1,0,20.5341,0.00002577,20.5268,6158,103,678,3,0.163
1,0,20.2626,0.000017591,20.2558,4279,90,526,13,0.145
1,0,20.3574,0.000026947,20.3499,3435,100,570,6,0.132
1,0,20.1253,0.000035371,20.1185,3348,82,546,4,0.163
1,0,20.218,0.000022873,20.211,4393,96,586,2,0.147
1,0,20.3775,0.000072415,20.3706,4033,87,546,2,0.127
1,0,21.1014,0.000043925,21.0945,2201,91,510,2,0.132
1,0,20.2727,0.000021815,20.2659,1776,79,552,4,0.128
1,0,20.3742,0.000018157,20.3671,3205,90,564,2,0.129
1,0,20.4803,0.000034329,20.4723,5024,97,570,2,0.151
1,0,20.3873,0.000033855,20.3802,4256,88,600,3,0.134
1,0,20.3494,0.000060935,20.3416,3508,92,618,4,0.135
1,0,21.4239,0.000019774,21.4178,4984,83,558,3,0.153
1,0,20.0913,0.000021519,20.0841,4380,93,646,3,0.148
1,0,20.4812,0.000022198,20.4737,3710,89,550,4,0.176
1,0,20.5559,0.000102118,20.5488,5648,90,632,5,0.141
