PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,0,20.0823,0,0,3178,249,248,20,0.143
3,0,20.0619,0,0,4347,225,224,18,0.133
3,0,20.001,0,0,3354,240,239,18,0.161
3,0,20.0682,0,0,3715,228,227,15,0.157
3,0,20.0743,0,0,4060,237,236,16,0.142
3,0,20.0065,0,0,4697,216,215,16,0.145
3,0,20.001,0,0,6784,182,181,8,0.151
3,0,20.1413,0,0,3327,222,221,21,0.133
3,0,20.0236,0,0,4693,210,209,18,0.14
3,0,20.0123,0,0,4273,208,207,14,0.136
3,0,20.0273,0,0,6772,188,187,7,0.165
3,0,20.0845,0,0,4009,237,236,20,0.129
3,0,20.0007,0,0,6750,178,177,8,0.137
3,0,20.0676,0,0,4182,223,222,17,0.121
3,0,20.0001,0,0,4267,203,202,19,0.145
3,0,20.0195,0,0,4485,220,219,13,0.12
3,0,20.0875,0,0,3208,233,232,16,0.116
3,0,20.0863,0,0,4432,205,204,16,0.133
3,0,20.0159,0,0,4859,209,208,19,0.15
3,0,20.0442,0,0,4890,213,212,21,0.13
3,0,20.001,0,0,3563,222,221,19,0.145
3,0,20.0484,0,0,4580,204,203,17,0.152
3,0,20.0869,0,0,3323,206,205,23,0.158
3,0,20.0006,0,0,3447,227,226,18,0.155
3,0,20.0407,0,0,3767,237,236,20,0.146
3,0,20.0571,0,0,3418,230,229,19,0.161
3,0,20.011,0,0,3920,212,211,16,0.138
3,0,20.025,0,0,3068,226,225,21,0.141
3,0,20.0001,0,0,6637,192,191,4,0.164
3,0,20.0063,0,0,5217,211,210,10,0.146
3,0,20.0235,0,0,6826,181,180,13,0.135
3,0,20.0024,0,0,4068,244,243,18,0.13
3,0,20.0012,0,0,6486,188,187,6,0.143
3,0,20.0415,0,0,4680,218,217,17,0.136
3,0,20.005,0,0,4009,236,235,16,0.149
3,0,20.0362,0,0,5126,200,199,13,0.139
3,0,20.001,0,0,3354,208,207,15,0.147
3,0,20.0014,0,0,5434,184,183,12,0.155
3,0,20.0313,0,0,3331,235,234,17,0.128
3,0,20.0006,0,0,4131,217,216,18,0.139
3,0,20.0976,0,0,3426,240,239,16,0.132
3,0,20.0023,0,0,6643,166,165,9,0.143
3,0,20.0012,0,0,6396,194,193,7,0.147
3,0,20.0195,0,0,3619,225,224,21,0.149
3,0,20.0528,0,0,3165,249,248,18,0.133
3,0,20.0637,0,0,6363,198,197,9,0.145
3,0,20.0682,0,0,4904,207,206,21,0.131
3,0,20.0506,0,0,5272,215,214,13,0.128
3,0,20.0079,0,0,6358,199,198,8,0.13
3,0,20.0054,0,0,4438,226,225,17,0.145
