PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,0,20.0869,0,0,4203,181,179,12,0.133
4,0,20.009,0,0,4055,177,175,15,0.132
4,0,20.0025,0,0,5785,168,166,9,0.161
4,0,20.0669,0,0,4869,190,188,18,0.12
4,0,20.0008,0,0,5053,169,167,10,0.144
4,0,20.1346,0,0,6035,159,157,6,0.128
4,0,20.006,0,0,5225,162,160,11,0.149
4,0,20.109,0,0,5735,162,160,5,0.131
4,0,20.0661,0,0,6099,160,158,8,0.151
4,0,20.0008,0,0,5903,169,167,3,0.146
4,0,20.0009,0,0,6507,154,152,7,0.141
4,0,20.0038,0,0,5570,155,153,10,0.141
4,0,20.0032,0,0,4962,169,167,12,0.131
4,0,20,0,0,6409,167,165,6,0.129
4,0,20.0269,0,0,4797,191,189,13,0.145
4,0,20.0316,0,0,5085,163,161,15,0.136
4,0,20.0001,0,0,5906,171,169,6,0.149
4,0,20.1036,0,0,6433,153,151,4,0.142
4,0,20.0003,0,0,4325,194,192,15,0.128
4,0,20.002,0,0,5042,156,154,10,0.114
4,0,20.0092,0,0,4519,182,180,10,0.141
4,0,20.0332,0,0,4181,202,200,25,0.136
4,0,20.0012,0,0,4227,165,163,9,0.151
4,0,20.0029,0,0,5978,155,153,7,0.148
4,0,20.015,0,0,5870,166,164,7,0.146
4,0,20.0002,0,0,6043,156,154,8,0.141
4,0,20.0293,0,0,4445,180,178,17,0.147
4,0,20.001,0,0,5463,162,160,13,0.15
4,0,20.0035,0,0,4154,185,183,13,0.131
4,0,20.0789,0,0,6379,149,147,8,0.134
4,0,20.0009,0,0,6452,158,156,8,0.14
4,0,20.0008,0,0,5387,172,170,5,0.153
4,0,20.0073,0,0,4907,174,172,13,0.159
4,0,20.0004,0,0,4422,171,169,13,0.148
4,0,20.0308,0,0,3795,202,200,12,0.132
4,0,20.0006,0,0,4535,165,163,15,0.13
4,0,20.0011,0,0,3537,190,188,13,0.133
4,0,20.0243,0,0,5733,145,143,4,0.144
4,0,20.0012,0,0,5220,147,145,12,0.142
4,0,20.0103,0,0,6716,160,158,8,0.147
4,0,20.0039,0,0,5292,171,169,12,0.143
4,0,20.0002,0,0,4091,190,188,17,0.147
4,0,20.0018,0,0,6080,161,159,8,0.144
4,0,20.0003,0,0,6396,146,144,8,0.128
4,0,20.1069,0,0,6641,150,148,7,0.14
4,0,20.0789,0,0,5918,149,147,11,0.151
4,0,20.0261,0,0,4548,192,190,17,0.131
4,0,20.0223,0,0,4027,184,182,14,0.156
4,0,20.0018,0,0,6121,169,167,4,0.13
4,0,20.0009,0,0,4585,176,174,14,0.139
