BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.043953,0.00158199,0.045535,499,591,32
0.0446798,0.00158117,0.0462609,500,593,28
0.0456042,0.0015686,0.0471728,497,587,28
0.0445365,0.00156162,0.0460982,496,585,30
0.0450155,0.00157266,0.0465882,497,587,32
0.0446639,0.0015634,0.0462273,497,587,32
0.0449119,0.00162347,0.0465353,497,587,28
0.046196,0.00154644,0.0477424,493,579,36
0.0456973,0.00151071,0.047208,496,585,30
0.0465294,0.00159165,0.048121,498,589,28
0.0452321,0.0013769,0.046609,496,585,458
0.0449751,0.0015828,0.0465579,502,597,28
0.0442599,0.00159217,0.0458521,501,595,28
0.0446014,0.00156415,0.0461656,498,589,30
0.0453608,0.00157076,0.0469316,496,585,30
0.0449079,0.00156739,0.0464753,499,591,32
0.0443754,0.00159826,0.0459737,499,591,32
0.0455739,0.00156765,0.0471415,496,585,28
0.0440317,0.00157544,0.0456071,500,593,30
0.0459958,0.00156051,0.0475563,498,589,28
0.0453431,0.00156814,0.0469112,497,587,30
0.0451892,0.00136028,0.0465495,494,581,456
0.0457982,0.00154744,0.0473457,494,581,36
0.0442139,0.00157101,0.0457849,499,591,30
0.0453517,0.00137171,0.0467234,496,585,458
0.0445135,0.00155599,0.0460695,497,587,36
0.0457593,0.00149219,0.0472515,492,577,32
0.0447091,0.00156491,0.0462741,498,589,30
0.0453932,0.00154711,0.0469403,495,583,30
0.0458254,0.00157172,0.0473971,498,589,30
0.0440972,0.00155984,0.045657,496,585,28
0.0445581,0.00155455,0.0461127,496,585,28
0.047244,0.0015797,0.0488237,496,585,30
0.0461844,0.00136039,0.0475448,492,577,454
0.0443852,0.00163551,0.0460207,501,595,28
0.0446408,0.00136897,0.0460097,495,583,457
0.0455577,0.0015534,0.0471111,495,583,28
0.0441173,0.0015787,0.045696,500,593,30
0.0447516,0.0015684,0.04632,496,585,28
0.0462434,0.00158075,0.0478241,501,595,32
0.044496,0.00138574,0.0458817,498,589,460
0.0448975,0.00154299,0.0464405,493,579,32
0.0459666,0.00156236,0.0475289,497,587,28
0.0448914,0.00154604,0.0464374,494,581,28
0.0460914,0.00155022,0.0476416,492,577,30
0.0458256,0.00159289,0.0474185,494,581,30
0.0457243,0.00155482,0.0472791,496,585,28
0.0458334,0.00160107,0.0474345,497,587,28
0.0453688,0.00160291,0.0469717,495,583,28
0.0457073,0.00155064,0.0472579,493,579,30
