PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,1,0.442107,3.6115e-05,0.439525,37,9,28,5,0.791
1,1,3.04379,3.1386e-05,3.04174,125,37,238,7,0.788
1,1,6.53257,3.6546e-05,6.53039,318,58,452,8,0.78
1,1,2.01425,2.3024e-05,2.01196,77,22,132,5,0.757
1,1,3.16665,3.7344e-05,3.16427,118,31,216,6,0.767
1,1,0.485275,6.8026e-05,0.482757,38,9,30,5,0.767
1,1,0.489637,6.8344e-05,0.487122,49,10,38,5,0.789
1,1,2.84767,4.9756e-05,2.84544,111,28,200,7,0.761
1,1,0.440369,3.6311e-05,0.438152,44,9,30,6,0.75
1,1,1.25039,5.7311e-05,1.24817,62,21,92,5,0.774
1,1,1.19249,3.4787e-05,1.19023,46,19,90,8,0.769
1,1,0.392172,5.7985e-05,0.389948,29,9,30,4,0.783
1,1,2.95717,6.345e-05,2.95493,220,34,224,7,0.759
1,1,1.12188,3.4643e-05,1.11953,82,16,76,5,0.769
1,1,1.63144,3.3916e-05,1.62897,40,22,114,5,0.757
1,1,1.0286,3.1268e-05,1.0266,59,16,68,6,0.749
1,1,0.658662,2.1179e-05,0.656493,28,13,48,5,0.774
1,1,5.73648,4.679e-05,5.73431,239,50,442,5,0.771
1,1,0.383196,3.2279e-05,0.380988,36,9,26,6,0.772
1,1,1.52074,2.542e-05,1.51858,94,23,106,9,0.768
1,1,0.547079,2.5575e-05,0.544878,28,13,44,5,0.784
1,1,2.10641,4.0657e-05,2.10415,71,28,154,9,0.741
1,1,0.279897,3.7765e-05,0.277455,10,6,14,4,0.758
1,1,0.655996,3.4712e-05,0.653696,47,14,48,6,0.77
1,1,1.70625,3.7886e-05,1.70355,84,22,140,5,0.778
1,1,1.12952,4.7351e-05,1.12716,56,18,80,6,0.776
1,1,2.68804,2.3023e-05,2.68577,74,33,196,7,0.745
1,1,1.99028,4.2576e-05,1.98791,114,26,148,7,0.757
1,1,4.51802,2.3875e-05,4.51569,249,42,330,8,0.738
1,1,3.38457,3.5306e-05,3.38232,137,33,232,6,0.76
1,1,2.68058,2.3814e-05,2.67808,155,28,186,6,0.762
1,1,0.776597,2.6463e-05,0.774358,43,15,54,6,0.759
1,1,0.429793,5.1439e-05,0.427532,29,8,26,4,0.774
1,1,1.1522,3.8539e-05,1.14996,129,18,88,5,0.792
1,1,1.91061,2.4454e-05,1.90854,80,27,150,5,0.767
1,1,0.684757,2.6774e-05,0.682336,28,14,50,4,0.757
1,1,0.949928,2.7566e-05,0.947211,44,16,68,5,0.771
1,1,0.92687,8.6495e-05,0.924449,97,17,66,4,0.806
1,1,0.788117,2.6203e-05,0.785629,65,15,56,5,0.757
1,1,0.497067,5.207e-05,0.494991,28,9,38,4,0.764
1,1,0.302078,7.2935e-05,0.299758,28,7,20,5,0.784
1,1,1.0424,2.9925e-05,1.03983,46,16,68,9,0.749
1,1,1.21506,2.8383e-05,1.21261,85,17,80,6,0.776
1,1,1.48419,4.387e-05,1.4815,101,19,94,6,0.731
1,1,5.69431,4.4722e-05,5.69202,277,47,414,6,0.764
1,1,4.58308,6.1438e-05,4.5808,268,43,326,7,0.759
1,1,0.487665,5.9054e-05,0.485417,27,8,26,4,0.758
1,1,0.385798,3.1217e-05,0.383133,40,9,30,4,0.747
1,1,0.474531,3.3926e-05,0.4723,30,8,26,5,0.767
1,1,1.07309,2.5991e-05,1.0706,54,16,74,4,0.761
