PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
3,1,0.529745,0,0,28,22,21,9,0.772
3,1,1.07925,0,0,72,46,45,12,0.783
3,1,1.22573,0,0,86,47,46,13,0.776
3,1,1.13203,0,0,60,48,47,12,0.775
3,1,1.53123,0,0,110,59,58,12,0.765
3,1,1.18575,0,0,85,44,43,10,0.763
3,1,0.815971,0,0,47,36,35,8,0.753
3,1,1.11948,0,0,73,45,44,9,0.764
3,1,2.10483,0,0,132,99,98,11,0.752
3,1,0.962047,0,0,70,45,44,11,0.757
3,1,0.803628,0,0,50,33,32,11,0.751
3,1,0.742197,0,0,46,26,25,11,0.746
3,1,0.431474,0,0,36,17,16,7,0.761
3,1,1.35363,0,0,86,62,61,11,0.734
3,1,0.493848,0,0,43,22,21,8,0.752
3,1,0.607754,0,0,37,25,24,9,0.755
3,1,0.691387,0,0,42,28,27,9,0.767
3,1,0.966008,0,0,61,42,41,10,0.772
3,1,2.13328,0,0,110,82,81,10,0.754
3,1,1.45403,0,0,84,60,59,10,0.751
3,1,1.65046,0,0,120,68,67,10,0.764
3,1,0.632011,0,0,46,26,25,9,0.761
3,1,0.426979,0,0,34,16,15,9,0.75
3,1,0.684889,0,0,58,30,29,8,0.751
3,1,1.43272,0,0,83,57,56,12,0.765
3,1,1.17984,0,0,81,43,42,11,0.765
3,1,0.724143,0,0,51,29,28,12,0.761
3,1,1.63156,0,0,110,67,66,11,0.761
3,1,0.644353,0,0,50,30,29,10,0.731
3,1,0.700589,0,0,43,29,28,9,0.776
3,1,0.78107,0,0,78,36,35,12,0.765
3,1,0.649693,0,0,46,30,29,12,0.753
3,1,0.447269,0,0,33,18,17,10,0.778
3,1,0.85187,0,0,47,33,32,8,0.754
3,1,0.634619,0,0,40,27,26,10,0.754
3,1,1.56937,0,0,122,67,66,12,0.738
3,1,0.789266,0,0,45,27,26,9,0.771
3,1,0.978615,0,0,72,43,42,9,0.767
3,1,1.35155,0,0,87,60,59,10,0.769
3,1,0.732343,0,0,50,24,23,13,0.738
3,1,0.391713,0,0,30,17,16,10,0.773
3,1,0.909257,0,0,55,36,35,10,0.744
3,1,0.666561,0,0,40,32,31,10,0.767
3,1,1.35181,0,0,84,56,55,8,0.778
3,1,0.726935,0,0,56,31,30,10,0.766
3,1,0.794317,0,0,70,32,31,15,0.765
3,1,0.726934,0,0,61,32,31,8,0.769
3,1,0.734146,0,0,47,29,28,10,0.766
3,1,0.873763,0,0,54,33,32,10,0.765
3,1,1.49966,0,0,76,60,59,11,0.757
