PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,0.320784,0,0,32,14,13,8,0.778
4,1,0.407026,0,0,21,15,14,11,0.758
4,1,0.255395,0,0,41,14,13,8,0.751
4,1,0.42764,0,0,40,21,20,8,0.773
4,1,0.410067,0,0,34,17,16,10,0.762
4,1,0.203592,0,0,29,13,12,8,0.756
4,1,0.423444,0,0,30,18,17,10,0.776
4,1,0.606116,0,0,57,25,24,10,0.748
4,1,0.252823,0,0,29,16,15,10,0.76
4,1,0.384279,0,0,31,18,17,9,0.753
4,1,0.37696,0,0,27,14,13,10,0.746
4,1,0.166906,0,0,8,9,8,7,0.778
4,1,0.187021,0,0,11,10,9,8,0.749
4,1,0.410267,0,0,42,19,18,8,0.765
4,1,0.192505,0,0,22,16,15,9,0.769
4,1,0.638901,0,0,58,27,26,11,0.769
4,1,0.244277,0,0,24,11,10,8,0.764
4,1,0.403367,0,0,44,19,18,10,0.752
4,1,0.188891,0,0,24,11,10,8,0.755
4,1,0.155799,0,0,7,10,9,9,0.774
4,1,0.150734,0,0,15,13,12,8,0.762
4,1,0.184822,0,0,31,13,12,8,0.773
4,1,0.399808,0,0,28,18,17,10,0.749
4,1,0.260144,0,0,17,13,12,8,0.757
4,1,0.361251,0,0,34,19,18,10,0.771
4,1,0.832094,0,0,62,28,27,10,0.773
4,1,0.243557,0,0,34,14,13,10,0.743
4,1,0.599409,0,0,55,23,22,12,0.782
4,1,0.711107,0,0,65,29,28,11,0.782
4,1,0.253077,0,0,18,12,11,8,0.751
4,1,0.175395,0,0,27,12,11,8,0.776
4,1,0.605968,0,0,59,25,24,11,0.763
4,1,0.243345,0,0,16,14,13,7,0.779
4,1,0.232942,0,0,47,14,13,9,0.763
4,1,0.334084,0,0,29,18,17,8,0.77
4,1,0.225996,0,0,17,12,11,10,0.746
4,1,0.376937,0,0,23,15,14,7,0.754
4,1,0.251845,0,0,24,14,13,8,0.768
4,1,0.309433,0,0,29,12,11,8,0.747
4,1,0.279678,0,0,23,13,12,10,0.799
4,1,0.379641,0,0,56,17,16,9,0.773
4,1,0.146111,0,0,6,9,8,8,0.785
4,1,0.243782,0,0,25,13,12,10,0.778
4,1,0.384302,0,0,33,16,15,8,0.765
4,1,0.452278,0,0,34,18,17,9,0.752
4,1,0.482768,0,0,44,21,20,10,0.752
4,1,0.168404,0,0,23,13,12,10,0.758
4,1,0.233029,0,0,32,14,13,8,0.766
4,1,0.577027,0,0,49,22,21,10,0.76
4,1,0.411855,0,0,29,16,15,8,0.757
